target_id,rows,screen,set,ridge,lightgbm
11,4334,1,brief layout,0.9148,0.6341
11,4334,1,brief + own_range,0.9140,0.5567
11,4334,1,brief + inflow_q,0.9130,0.6256
11,4334,1,brief + chandpur,0.9203,0.6444
11,4334,1,brief + bhairab,0.9164,0.6455
11,4334,1,brief + rain_mm,0.9150,0.6415
11,4334,1,brief + season,0.9148,0.6436
11,4737,2,brief layout,0.9142,0.6249
11,4737,2,brief + meghna,0.9215,0.6741
11,4737,2,brief + meghna + own_range,0.9212,0.5719
12,4364,1,brief layout,0.7764,0.3408
12,4364,1,brief + own_range,0.8101,0.4889
12,4364,1,brief + inflow_q,0.7696,0.3537
12,4364,1,brief + chandpur,0.8417,0.5387
12,4364,1,brief + bhairab,0.8126,0.4557
12,4364,1,brief + rain_mm,0.7565,0.3727
12,4364,1,brief + season,0.7788,0.4024
12,4737,2,brief layout,0.7834,0.3998
12,4737,2,brief + meghna,0.8500,0.5912
12,4737,2,brief + meghna + own_range,0.8604,0.5733
15,4350,1,brief layout,0.6501,0.2357
15,4350,1,brief + own_range,0.6561,0.3606
15,4350,1,brief + inflow_q,0.6289,0.2171
15,4350,1,brief + chandpur,0.6980,0.3312
15,4350,1,brief + bhairab,0.6525,0.2522
15,4350,1,brief + rain_mm,0.6429,0.2016
15,4350,1,brief + season,0.6322,0.1675
15,4715,2,brief layout,0.6524,0.2599
15,4715,2,brief + meghna,0.7018,0.3656
15,4715,2,brief + meghna + own_range,0.6942,0.4011
