Section_ID,Date,Distance_m,Reduced_Level_m
RMG12,2011-04-08,0.0,14.03
RMG12,2011-04-08,0.0,13.92
RMG12,2011-04-08,10.0,14.65
RMG12,2011-04-08,18.0,17.5
RMG12,2011-04-08,22.0,17.5
RMG12,2011-04-08,31.0,14.46
RMG12,2011-04-08,41.0,13.38
RMG12,2011-04-08,41.0,13.2
RMG12,2011-04-08,50.0,13.46
RMG12,2011-04-08,100.0,13.45
RMG12,2011-04-08,150.0,13.62
RMG12,2011-04-08,200.0,13.53
RMG12,2011-04-08,250.0,13.62
RMG12,2011-04-08,300.0,13.44
RMG12,2011-04-08,350.0,13.68
RMG12,2011-04-08,400.0,13.76
RMG12,2011-04-08,450.0,13.78
RMG12,2011-04-08,500.0,14.02
RMG12,2011-04-08,550.0,13.98
RMG12,2011-04-08,600.0,13.58
RMG12,2011-04-08,650.0,13.02
RMG12,2011-04-08,700.0,12.78
RMG12,2011-04-08,750.0,12.64
RMG12,2011-04-08,800.0,12.62
RMG12,2011-04-08,850.0,12.58
RMG12,2011-04-08,870.0,11.84
RMG12,2011-04-08,900.0,10.85
RMG12,2011-04-08,950.0,9.56
RMG12,2011-04-08,1000.0,8.25
RMG12,2011-04-08,1036.0,6.58
RMG12,2011-04-08,1041.0,6.18
RMG12,2011-04-08,1046.0,5.93
RMG12,2011-04-08,1051.0,5.73
RMG12,2011-04-08,1056.0,5.88
RMG12,2011-04-08,1061.0,6.03
RMG12,2011-04-08,1066.0,6.23
RMG12,2011-04-08,1071.0,6.58
RMG12,2011-04-08,1100.0,7.76
RMG12,2011-04-08,1150.0,9.38
RMG12,2011-04-08,1200.0,10.17
RMG12,2011-04-08,1250.0,10.94
RMG12,2011-04-08,1300.0,11.72
RMG12,2011-04-08,1350.0,12.2
RMG12,2011-04-08,1400.0,12.68
RMG12,2011-04-08,1450.0,13.12
RMG12,2011-04-08,1500.0,13.46
RMG12,2011-04-08,1550.0,13.52
RMG12,2011-04-08,1600.0,13.48
RMG12,2011-04-08,1650.0,13.47
RMG12,2011-04-08,1700.0,13.4
RMG12,2011-04-08,1750.0,13.28
RMG12,2011-04-08,1800.0,13.1
RMG12,2011-04-08,1850.0,12.98
RMG12,2011-04-08,1900.0,12.9
RMG12,2011-04-08,1950.0,12.72
RMG12,2011-04-08,2000.0,12.7
RMG12,2011-04-08,2050.0,12.65
RMG12,2011-04-08,2100.0,12.62
RMG12,2011-04-08,2150.0,12.6
RMG12,2011-04-08,2200.0,12.6
RMG12,2011-04-08,2250.0,12.54
RMG12,2011-04-08,2300.0,12.52
RMG12,2011-04-08,2350.0,12.53
RMG12,2011-04-08,2400.0,12.51
RMG12,2011-04-08,2450.0,12.52
RMG12,2011-04-08,2500.0,12.48
RMG12,2011-04-08,2550.0,12.5
RMG12,2011-04-08,2600.0,12.48
RMG12,2011-04-08,2650.0,12.52
RMG12,2011-04-08,2700.0,12.56
RMG12,2011-04-08,2750.0,12.48
RMG12,2011-04-08,2800.0,12.42
RMG12,2011-04-08,2850.0,12.38
RMG12,2011-04-08,2900.0,12.36
RMG12,2011-04-08,2950.0,12.42
RMG12,2011-04-08,3000.0,12.4
RMG12,2011-04-08,3050.0,12.3
RMG12,2011-04-08,3100.0,12.18
RMG12,2011-04-08,3150.0,11.26
RMG12,2011-04-08,3200.0,10.92
RMG12,2011-04-08,3250.0,9.53
RMG12,2011-04-08,3300.0,8.68
RMG12,2011-04-08,3350.0,6.82
RMG12,2011-04-08,3376.0,5.08
RMG12,2011-04-08,3402.0,4.63
RMG12,2011-04-08,3428.0,4.28
RMG12,2011-04-08,3454.0,3.48
RMG12,2011-04-08,3480.0,2.98
RMG12,2011-04-08,3506.0,2.18
RMG12,2011-04-08,3532.0,1.18
RMG12,2011-04-08,3558.0,0.08
RMG12,2011-04-08,3584.0,-0.32
RMG12,2011-04-08,3610.0,-0.22
RMG12,2011-04-08,3636.0,-0.27
RMG12,2011-04-08,3662.0,-0.42
RMG12,2011-04-08,3688.0,-0.32
RMG12,2011-04-08,3714.0,-0.82
RMG12,2011-04-08,3740.0,-0.92
RMG12,2011-04-08,3766.0,-1.02
RMG12,2011-04-08,3792.0,-1.62
RMG12,2011-04-08,3818.0,-1.82
RMG12,2011-04-08,3844.0,-1.02
RMG12,2011-04-08,3870.0,-0.92
RMG12,2011-04-08,3896.0,-1.12
RMG12,2011-04-08,3922.0,-0.92
RMG12,2011-04-08,3948.0,-0.02
RMG12,2011-04-08,3974.0,1.08
RMG12,2011-04-08,4000.0,1.48
RMG12,2011-04-08,4026.0,2.68
RMG12,2011-04-08,4052.0,2.73
RMG12,2011-04-08,4078.0,3.18
RMG12,2011-04-08,4104.0,4.08
RMG12,2011-04-08,4130.0,5.08
RMG12,2011-04-08,4150.0,6.24
RMG12,2011-04-08,4200.0,7.38
RMG12,2011-04-08,4250.0,8.07
RMG12,2011-04-08,4300.0,8.63
RMG12,2011-04-08,4350.0,8.78
RMG12,2011-04-08,4400.0,9.15
RMG12,2011-04-08,4450.0,9.2
RMG12,2011-04-08,4500.0,9.05
RMG12,2011-04-08,4550.0,8.74
RMG12,2011-04-08,4580.0,8.02
RMG12,2011-04-08,4610.0,7.35
RMG12,2011-04-08,4640.0,6.48
RMG12,2011-04-08,4656.0,5.82
RMG12,2011-04-08,4664.0,5.32
RMG12,2011-04-08,4672.0,4.97
RMG12,2011-04-08,4680.0,4.62
RMG12,2011-04-08,4688.0,4.47
RMG12,2011-04-08,4696.0,4.32
RMG12,2011-04-08,4704.0,4.52
RMG12,2011-04-08,4712.0,4.77
RMG12,2011-04-08,4720.0,4.97
RMG12,2011-04-08,4728.0,5.22
RMG12,2011-04-08,4736.0,5.82
RMG12,2011-04-08,4750.0,6.36
RMG12,2011-04-08,4800.0,6.94
RMG12,2011-04-08,4850.0,7.62
RMG12,2011-04-08,4900.0,8.1
RMG12,2011-04-08,4950.0,8.45
RMG12,2011-04-08,5000.0,8.96
RMG12,2011-04-08,5050.0,9.3
RMG12,2011-04-08,5100.0,9.45
RMG12,2011-04-08,5150.0,9.8
RMG12,2011-04-08,5200.0,9.76
RMG12,2011-04-08,5250.0,9.22
RMG12,2011-04-08,5300.0,9.04
RMG12,2011-04-08,5350.0,9.25
RMG12,2011-04-08,5400.0,9.36
RMG12,2011-04-08,5450.0,9.05
RMG12,2011-04-08,5500.0,9.22
RMG12,2011-04-08,5550.0,9.14
RMG12,2011-04-08,5600.0,8.86
RMG12,2011-04-08,5650.0,8.48
RMG12,2011-04-08,5700.0,8.06
RMG12,2011-04-08,5750.0,7.74
RMG12,2011-04-08,5800.0,7.58
RMG12,2011-04-08,5850.0,7.27
RMG12,2011-04-08,5900.0,7.0
RMG12,2011-04-08,5950.0,6.58
RMG12,2011-04-08,6000.0,6.32
RMG12,2011-04-08,6050.0,6.15
RMG12,2011-04-08,6100.0,5.88
RMG12,2011-04-08,6150.0,5.64
RMG12,2011-04-08,6200.0,5.38
RMG12,2011-04-08,6216.0,5.06
RMG12,2011-04-08,6226.0,4.06
RMG12,2011-04-08,6236.0,3.46
RMG12,2011-04-08,6246.0,3.16
RMG12,2011-04-08,6256.0,2.86
RMG12,2011-04-08,6266.0,3.06
RMG12,2011-04-08,6276.0,3.26
RMG12,2011-04-08,6286.0,3.46
RMG12,2011-04-08,6296.0,3.76
RMG12,2011-04-08,6306.0,4.06
RMG12,2011-04-08,6316.0,4.36
RMG12,2011-04-08,6326.0,5.06
RMG12,2011-04-08,6330.0,5.72
RMG12,2011-04-08,6350.0,5.76
RMG12,2011-04-08,6366.0,8.98
RMG12,2011-04-08,6374.0,10.36
RMG12,2011-04-08,6380.0,11.86
RMG12,2011-04-08,6395.0,13.22
RMG12,2011-04-08,6420.0,13.2
RMG12,2011-04-08,6470.0,13.23
RMG12,2011-04-08,6520.0,13.18
RMG12,2011-04-08,6570.0,13.17
RMG12,2011-04-08,6620.0,13.19
RMG12,2011-04-08,6670.0,13.16
RMG12,2011-04-08,6720.0,12.98
RMG12,2011-04-08,6770.0,12.94
RMG12,2011-04-08,6820.0,12.92
RMG12,2011-04-08,6870.0,12.91
RMG12,2011-04-08,6920.0,12.9
RMG12,2011-04-08,6970.0,12.82
RMG12,2011-04-08,7020.0,12.02
RMG12,2011-04-08,7070.0,11.9
RMG12,2011-04-08,7120.0,11.74
RMG12,2011-04-08,7170.0,11.78
RMG12,2011-04-08,7220.0,11.84
RMG12,2011-04-08,7270.0,11.96
RMG12,2011-04-08,7318.0,13.03
