Station_ID,Date,Discharge_m3s
SW273,2011-06-01,4173.95
SW273,2011-06-02,4239.31
SW273,2011-06-03,4268.62
SW273,2011-06-04,4275.97
SW273,2011-06-05,4275.97
SW273,2011-06-06,4268.62
SW273,2011-06-07,4275.97
SW273,2011-06-08,4312.89
SW273,2011-06-09,4357.52
SW273,2011-06-10,4372.48
SW273,2011-06-11,4486.0
SW273,2011-06-12,4524.35
SW273,2011-06-13,4562.97
SW273,2011-06-14,4617.48
SW273,2011-06-15,4704.2
SW273,2011-06-16,4800.27
SW273,2011-06-17,4947.32
SW273,2011-06-18,5022.19
SW273,2011-06-19,5030.56
SW273,2011-06-20,5013.82
SW273,2011-06-21,4955.6
SW273,2011-06-22,4906.12
SW273,2011-06-23,4848.89
SW273,2011-06-24,4824.53
SW273,2011-06-25,4816.43
SW273,2011-06-26,4800.27
SW273,2011-06-27,4808.35
SW273,2011-06-28,4848.89
SW273,2011-06-29,4930.81
SW273,2011-06-30,5030.56
SW273,2011-07-01,5217.63
SW273,2011-07-02,5365.97
SW273,2011-07-03,5526.69
SW273,2011-07-04,5635.96
SW273,2011-07-05,5756.28
SW273,2011-07-06,5850.23
SW273,2011-07-07,5897.66
SW273,2011-07-08,5954.98
SW273,2011-07-09,5983.81
SW273,2011-07-10,6012.75
SW273,2011-07-11,6051.51
SW273,2011-07-12,6100.24
SW273,2011-07-13,6139.45
SW273,2011-07-14,6159.13
SW273,2011-07-15,6178.86
SW273,2011-07-16,6188.75
SW273,2011-07-17,6208.56
SW273,2011-07-18,6208.56
SW273,2011-07-19,6228.41
SW273,2011-07-20,6238.36
SW273,2011-07-21,6268.28
SW273,2011-07-22,6288.29
SW273,2011-07-23,6308.35
SW273,2011-07-24,6308.35
SW273,2011-07-25,6308.35
SW273,2011-07-26,6298.32
SW273,2011-07-27,6298.32
SW273,2011-07-28,6288.29
SW273,2011-07-29,6298.32
SW273,2011-07-30,6288.29
SW273,2011-07-31,6298.32
SW273,2011-08-01,6318.4
SW273,2011-08-02,6338.54
SW273,2011-08-03,6328.47
SW273,2011-08-04,6318.4
SW273,2011-08-05,6338.54
SW273,2011-08-06,6368.85
SW273,2011-08-07,6399.27
SW273,2011-08-08,6399.27
SW273,2011-08-09,6419.61
SW273,2011-08-10,6491.23
SW273,2011-08-11,6522.11
SW273,2011-08-12,6532.43
SW273,2011-08-13,6553.12
SW273,2011-08-14,6553.12
SW273,2011-08-15,6563.48
SW273,2011-08-16,6584.24
SW273,2011-08-17,6709.91
SW273,2011-08-18,6784.1
SW273,2011-08-19,6869.69
SW273,2011-08-20,6902.01
SW273,2011-08-21,6923.62
SW273,2011-08-22,6923.62
SW273,2011-08-23,6945.29
SW273,2011-08-24,6956.15
SW273,2011-08-25,6945.29
SW273,2011-08-26,6945.29
SW273,2011-08-27,6945.29
SW273,2011-08-28,6912.81
SW273,2011-08-29,6902.01
SW273,2011-08-30,6880.45
SW273,2011-08-31,6880.45
SW273,2011-09-01,6837.49
SW273,2011-09-02,6805.42
SW273,2011-09-03,6741.63
SW273,2011-09-04,6678.31
SW273,2011-09-05,6615.48
SW273,2011-09-06,6532.43
SW273,2011-09-07,6429.8
SW273,2011-09-08,6328.47
SW273,2011-09-09,6278.28
SW273,2011-09-10,6228.41
SW273,2011-09-11,6168.99
SW273,2011-09-12,6100.24
SW273,2011-09-13,6012.75
SW273,2011-09-14,5945.4
SW273,2011-09-15,5926.27
SW273,2011-09-16,5916.72
SW273,2011-09-17,5888.15
SW273,2011-09-18,5878.65
SW273,2011-09-19,5907.18
SW273,2011-09-20,5916.72
SW273,2011-09-21,5888.15
SW273,2011-09-22,5916.72
SW273,2011-09-23,5916.72
SW273,2011-09-24,5907.18
SW273,2011-09-25,5888.15
SW273,2011-09-26,5888.15
SW273,2011-09-27,5897.66
SW273,2011-09-28,5926.27
SW273,2011-09-29,5945.4
SW273,2011-09-30,5945.4
SW273,2011-10-01,5935.83
SW273,2011-10-02,5926.27
SW273,2011-10-03,5897.66
SW273,2011-10-04,5859.69
SW273,2011-10-05,5784.34
SW273,2011-10-06,5691.24
SW273,2011-10-07,5608.48
SW273,2011-10-08,5508.65
SW273,2011-10-09,5410.24
SW273,2011-10-10,5304.49
SW273,2011-10-11,5191.8
SW273,2011-10-12,5097.96
SW273,2011-10-13,4988.8
SW273,2011-10-14,4906.12
SW273,2011-10-15,4824.53
SW273,2011-10-16,4752.04
SW273,2011-10-17,4704.2
SW273,2011-10-18,4601.86
SW273,2011-10-19,4578.5
SW273,2011-10-20,4508.98
SW273,2011-10-21,4417.61
SW273,2011-10-22,4342.6
SW273,2011-10-23,4275.97
SW273,2011-10-24,4268.62
SW273,2011-10-25,4283.34
SW273,2011-10-26,4320.3
SW273,2011-10-27,4350.06
SW273,2011-10-28,4357.52
SW273,2011-10-29,4327.73
SW273,2011-10-30,4261.28
SW273,2011-10-31,4188.41
SW273,2011-11-01,4109.41
SW273,2011-11-02,3996.63
SW273,2011-11-03,3879.53
SW273,2011-11-04,3785.17
SW273,2011-11-05,3738.69
SW273,2011-11-06,3745.3
SW273,2011-11-07,3751.92
SW273,2011-11-08,3738.69
SW273,2011-11-09,3798.54
SW273,2011-11-10,3818.66
SW273,2011-11-11,3825.38
SW273,2011-11-12,3845.62
SW273,2011-11-13,3838.86
SW273,2011-11-14,3811.94
SW273,2011-11-15,3778.5
SW273,2011-11-16,3765.19
SW273,2011-11-17,3738.69
SW273,2011-11-18,3705.76
SW273,2011-11-19,3666.56
SW273,2011-11-20,3634.15
SW273,2011-11-21,3640.61
SW273,2011-11-22,3666.56
SW273,2011-11-23,3712.33
SW273,2011-11-24,3751.92
SW273,2011-11-25,3791.85
SW273,2011-11-26,3785.17
SW273,2011-11-27,3778.5
SW273,2011-11-28,3758.55
SW273,2011-11-29,3732.08
SW273,2011-11-30,3647.09
SW273,2011-12-01,3563.65
SW273,2011-12-02,3525.65
SW273,2011-12-03,3469.27
SW273,2011-12-04,3432.09
SW273,2011-12-05,3401.35
SW273,2011-12-06,3383.01
SW273,2011-12-07,3401.35
SW273,2011-12-08,3419.77
SW273,2011-12-09,3469.27
SW273,2011-12-10,3531.96
SW273,2011-12-11,3570.01
SW273,2011-12-12,3550.95
SW273,2011-12-13,3519.35
SW273,2011-12-14,3500.51
SW273,2011-12-15,3487.99
SW273,2011-12-16,3456.84
SW273,2011-12-17,3419.77
SW273,2011-12-18,3383.01
SW273,2011-12-19,3352.62
SW273,2011-12-20,3364.75
SW273,2011-12-21,3370.83
SW273,2011-12-22,3401.35
SW273,2011-12-23,3419.77
SW273,2011-12-24,3444.45
SW273,2011-12-25,3506.78
SW273,2011-12-26,3538.28
SW273,2011-12-27,3538.28
SW273,2011-12-28,3608.38
SW273,2011-12-29,3660.06
SW273,2011-12-30,3621.25
SW273,2011-12-31,3563.65
SW273,2012-06-01,4472.46
SW273,2012-06-02,4606.46
SW273,2012-06-03,4752.3
SW273,2012-06-04,4964.37
SW273,2012-06-05,5027.62
SW273,2012-06-06,5119.07
SW273,2012-06-07,5119.07
SW273,2012-06-08,5137.52
SW273,2012-06-09,5119.07
SW273,2012-06-10,5183.87
SW273,2012-06-11,5249.31
SW273,2012-06-12,5268.12
SW273,2012-06-13,5221.18
SW273,2012-06-14,5221.18
SW273,2012-06-15,5277.55
SW273,2012-06-16,5401.34
SW273,2012-06-17,5566.68
SW273,2012-06-18,5685.77
SW273,2012-06-19,5817.05
SW273,2012-06-20,5919.66
SW273,2012-06-21,6034.18
SW273,2012-06-22,6118.56
SW273,2012-06-23,6182.45
SW273,2012-06-24,6203.87
SW273,2012-06-25,6214.6
SW273,2012-06-26,6203.87
SW273,2012-06-27,6311.83
SW273,2012-06-28,6476.54
SW273,2012-06-29,6599.48
SW273,2012-06-30,6747.14
SW273,2012-07-01,6885.75
SW273,2012-07-02,7002.97
SW273,2012-07-03,7121.77
SW273,2012-07-04,7193.8
SW273,2012-07-05,7230.04
SW273,2012-07-06,7217.94
SW273,2012-07-07,7205.86
SW273,2012-07-08,7181.76
SW273,2012-07-09,7133.73
SW273,2012-07-10,7109.82
SW273,2012-07-11,7014.78
SW273,2012-07-12,6944.17
SW273,2012-07-13,6955.9
SW273,2012-07-14,6979.4
SW273,2012-07-15,7002.97
SW273,2012-07-16,7014.78
SW273,2012-07-17,7109.82
SW273,2012-07-18,7278.57
SW273,2012-07-19,7425.73
SW273,2012-07-20,7537.63
SW273,2012-07-21,7625.58
SW273,2012-07-22,7663.53
SW273,2012-07-23,7688.9
SW273,2012-07-24,7727.09
SW273,2012-07-25,7739.86
SW273,2012-07-26,7739.86
SW273,2012-07-27,7688.9
SW273,2012-07-28,7638.21
SW273,2012-07-29,7587.79
SW273,2012-07-30,7537.63
SW273,2012-07-31,7487.73
SW273,2012-08-01,7425.73
SW273,2012-08-02,7388.72
SW273,2012-08-03,7388.72
SW273,2012-08-04,7364.13
SW273,2012-08-05,7339.6
SW273,2012-08-06,7290.75
SW273,2012-08-07,7242.15
SW273,2012-08-08,7217.94
SW273,2012-08-09,7169.73
SW273,2012-08-10,7097.88
SW273,2012-08-11,7038.45
SW273,2012-08-12,6991.18
SW273,2012-08-13,7002.97
SW273,2012-08-14,6920.76
SW273,2012-08-15,6885.75
SW273,2012-08-16,6839.3
SW273,2012-08-17,6804.63
SW273,2012-08-18,6781.59
SW273,2012-08-19,6758.61
SW273,2012-08-20,6735.69
SW273,2012-08-21,6781.59
SW273,2012-08-22,6850.89
SW273,2012-08-23,6874.12
SW273,2012-08-24,6897.41
SW273,2012-08-25,6920.76
SW273,2012-08-26,6909.07
SW273,2012-08-27,6874.12
SW273,2012-08-28,6874.12
SW273,2012-08-29,6839.3
SW273,2012-08-30,6862.5
SW273,2012-08-31,6874.12
SW273,2012-09-01,6885.75
SW273,2012-09-02,6885.75
