Evap_Station,Date,Evaporation_mm
CL406,2011-01-01,0.3555999994278
CL406,2011-01-02,0.3555999994278
CL406,2011-01-03,0.3555999994278
CL406,2011-01-04,0.0
CL406,2011-01-05,0.3555999994278
CL406,2011-01-06,0.3555999994278
CL406,2011-01-07,0.3555999994278
CL406,2011-01-08,0.3555999994278
CL406,2011-01-09,0.3555999994278
CL406,2011-01-10,0.3555999994278
CL406,2011-01-11,0.3555999994278
CL406,2011-01-12,0.3555999994278
CL406,2011-01-13,0.3555999994278
CL406,2011-01-14,0.3555999994278
CL406,2011-01-15,0.3555999994278
CL406,2011-01-16,0.3555999994278
CL406,2011-01-17,0.71119999885559
CL406,2011-01-18,0.71119999885559
CL406,2011-01-19,0.3555999994278
CL406,2011-01-20,0.3555999994278
CL406,2011-01-21,0.3555999994278
CL406,2011-01-22,0.3555999994278
CL406,2011-01-23,0.3555999994278
CL406,2011-01-24,0.71119999885559
CL406,2011-01-25,0.71119999885559
CL406,2011-01-26,0.3555999994278
CL406,2011-01-27,0.3555999994278
CL406,2011-01-28,0.71119999885559
CL406,2011-01-29,0.71119999885559
CL406,2011-01-30,0.71119999885559
CL406,2011-01-31,0.71119999885559
CL406,2011-02-01,0.71119999885559
CL406,2011-02-02,0.71119999885559
CL406,2011-02-03,0.71119999885559
CL406,2011-02-04,0.71119999885559
CL406,2011-02-05,0.71119999885559
CL406,2011-02-06,0.71119999885559
CL406,2011-02-07,0.71119999885559
CL406,2011-02-08,0.71119999885559
CL406,2011-02-09,0.71119999885559
CL406,2011-02-10,0.71119999885559
CL406,2011-02-11,0.71119999885559
CL406,2011-02-12,0.71119999885559
CL406,2011-02-13,0.71119999885559
CL406,2011-02-14,0.71119999885559
CL406,2011-02-15,0.71119999885559
CL406,2011-02-16,0.71119999885559
CL406,2011-02-17,0.71119999885559
CL406,2011-02-18,1.0667999982834
CL406,2011-02-19,1.0667999982834
CL406,2011-02-20,1.0667999982834
CL406,2011-02-21,1.0667999982834
CL406,2011-02-22,1.0667999982834
CL406,2011-02-23,1.0667999982834
CL406,2011-02-24,1.0667999982834
CL406,2011-02-25,1.4223999977112
CL406,2011-02-26,1.4223999977112
CL406,2011-02-27,1.0667999982834
CL406,2011-02-28,1.0667999982834
CL406,2011-03-01,1.0667999982834
CL406,2011-03-02,1.0667999982834
CL406,2011-03-03,1.0667999982834
CL406,2011-03-04,1.4223999977112
CL406,2011-03-05,1.4223999977112
CL406,2011-03-06,1.4223999977112
CL406,2011-03-07,1.4223999977112
CL406,2011-03-08,1.4223999977112
CL406,2011-03-09,1.4223999977112
CL406,2011-03-10,1.4223999977112
CL406,2011-03-11,1.4223999977112
CL406,2011-03-12,1.4223999977112
