Well_ID,Date,GW_Depth_m
GT2947007,2011-01-03,3.7
GT2947007,2011-01-10,3.9
GT2947007,2011-01-17,4.1
GT2947007,2011-01-24,4.2
GT2947007,2011-01-31,4.3
GT2947007,2011-02-07,4.4
GT2947007,2011-02-14,4.65
GT2947007,2011-02-21,4.8
GT2947007,2011-02-28,4.8
GT2947007,2011-03-07,4.8
GT2947007,2011-03-14,4.9
GT2947007,2011-03-21,5.0
GT2947007,2011-03-28,5.1
GT2947007,2011-04-04,5.1
GT2947007,2011-04-11,5.15
GT2947007,2011-04-18,5.2
GT2947007,2011-04-25,5.2
GT2947007,2011-05-02,5.1
GT2947007,2011-05-09,5.0
GT2947007,2011-05-16,4.8
GT2947007,2011-05-23,4.6
GT2947007,2011-05-30,4.5
GT2947007,2011-06-06,4.4
GT2947007,2011-06-13,4.3
GT2947007,2011-06-20,4.0
GT2947007,2011-06-27,3.7
GT2947007,2011-07-04,3.0
GT2947007,2011-07-11,2.6
GT2947007,2011-07-18,2.4
GT2947007,2011-07-25,2.0
GT2947007,2011-08-01,2.05
GT2947007,2011-08-08,1.7
GT2947007,2011-08-15,1.0
GT2947007,2011-08-22,1.1
GT2947007,2011-08-29,1.25
GT2947007,2011-09-05,1.5
GT2947007,2011-09-12,1.6
GT2947007,2011-09-19,1.5
GT2947007,2011-09-26,1.5
GT2947007,2011-10-03,1.6
GT2947007,2011-10-10,1.9
GT2947007,2011-10-17,2.1
GT2947007,2011-10-24,2.4
GT2947007,2011-10-31,2.7
GT2947007,2011-11-07,3.0
GT2947007,2011-11-14,3.2
GT2947007,2011-11-21,3.4
GT2947007,2011-11-28,3.6
GT2947007,2011-12-05,3.7
GT2947007,2011-12-12,3.85
GT2947007,2012-01-02,4.2
GT2947007,2012-01-09,4.25
GT2947007,2012-01-16,4.3
GT2947007,2012-01-23,4.4
GT2947007,2012-01-30,4.5
GT2947007,2012-02-06,4.65
GT2947007,2012-02-13,4.7
GT2947007,2012-02-20,4.75
GT2947007,2012-02-27,4.8
GT2947007,2012-03-05,4.9
GT2947007,2012-03-12,5.0
GT2947007,2012-03-19,5.1
GT2947007,2012-03-26,5.2
GT2947007,2012-04-02,5.3
GT2947007,2012-04-09,5.0
GT2947007,2012-04-16,4.7
GT2947007,2012-04-23,4.9
GT2947007,2012-04-30,4.9
GT2947007,2012-05-07,4.75
GT2947007,2012-05-14,4.7
GT2947007,2012-05-21,4.7
GT2947007,2012-05-28,4.65
GT2947007,2012-06-04,4.6
GT2947007,2012-06-11,4.5
GT2947007,2012-06-18,4.4
GT2947007,2012-06-25,4.25
GT2947007,2012-07-02,4.05
GT2947007,2012-07-09,3.8
GT2947007,2012-07-16,3.4
GT2947007,2012-07-23,3.1
GT2947007,2012-07-30,3.1
GT2947007,2012-08-06,3.0
GT2947007,2012-08-13,2.9
GT2947007,2012-08-20,2.8
GT2947007,2012-08-27,2.7
GT2947007,2012-09-03,2.6
GT2947007,2012-09-10,2.5
GT2947007,2012-09-17,2.2
GT2947007,2012-09-24,2.1
GT2947007,2012-10-01,2.05
GT2947007,2012-10-08,2.0
GT2947007,2012-10-15,1.9
GT2947007,2012-10-22,2.2
GT2947007,2012-10-29,2.6
