Station_ID,Date,Sed_Coarse_kgs,Sed_Bulk_kgs,Sed_Conc_ppm,Sed_Total_kgs
SW90,2016-07-20,250.48,0.0,128.89,0.0
SW90,2016-07-25,4251.26,18176.63,425.0,22427.88
SW90,2016-08-01,5925.33,25884.37,535.0,31809.7
SW90,2016-08-02,6474.47,18486.75,382.0,24961.22
SW90,2016-08-03,388.7,0.0,78.47,0.0
SW90,2016-08-08,5674.04,17274.17,382.0,22948.21
SW90,2016-08-16,5480.67,13264.8,312.0,18745.47
SW90,2016-08-22,6516.46,90470.25,1878.0,96986.71
SW90,2016-08-27,7680.8,58717.03,1046.0,66397.83
SW90,2016-08-28,7425.22,78858.06,1416.0,86283.28
SW90,2016-08-29,7745.62,89764.61,1619.0,97510.23
SW90,2016-09-01,6873.77,18346.86,337.0,25220.63
SW90,2016-09-05,4745.54,15320.42,360.0,20065.96
SW90,2016-09-12,3178.74,6063.31,194.0,9242.06
SW90,2016-09-19,2478.51,3171.58,117.0,5650.09
SW90,2016-09-26,2163.91,3294.3,124.0,5458.21
SW90,2016-10-03,2183.28,0.0,88.55,0.0
SW90,2016-10-10,1047.83,0.0,72.45,0.0
SW90,2016-10-17,868.12,0.0,56.35,0.0
SW90,2016-10-24,324.44,0.0,48.3,0.0
SW90,2016-10-31,120.74,0.0,32.2,0.0
SW90,2017-07-03,236.91,0.0,104.65,0.0
SW90,2017-07-10,531.1,0.0,112.7,0.0
SW90,2017-07-17,1802.5,0.0,120.75,0.0
SW90,2017-07-24,1591.22,0.0,128.8,0.0
SW90,2017-07-31,1744.17,0.0,128.8,0.0
SW90,2017-08-07,1779.16,0.0,120.75,0.0
SW90,2017-08-16,4068.67,0.0,120.75,0.0
SW90,2017-08-20,4552.52,0.0,128.8,0.0
SW90,2017-08-21,4993.04,0.0,136.85,0.0
SW90,2017-08-22,5307.79,0.0,164.65,0.0
SW90,2017-08-28,4472.44,0.0,128.8,0.0
SW90,2017-09-04,2805.56,0.0,112.7,0.0
SW90,2017-09-11,2201.93,0.0,96.6,0.0
SW90,2017-09-18,1501.11,0.0,88.55,0.0
SW90,2017-09-25,931.7,0.0,80.5,0.0
SW90,2017-10-01,1245.8,0.0,120.75,0.0
SW90,2017-10-09,995.72,0.0,96.6,0.0
SW90,2017-10-16,659.06,0.0,72.45,0.0
SW90,2017-10-23,292.32,0.0,48.3,0.0
SW90,2017-10-30,92.38,0.0,24.15,0.0
SW90,2018-07-02,242.61,137.66,44.0,380.27
SW90,2018-07-09,713.9,318.97,40.0,1032.87
SW90,2018-07-16,850.13,636.47,73.0,1486.6
SW90,2018-07-23,1012.56,806.9,88.0,1819.46
SW90,2018-07-30,1255.62,919.61,87.0,2175.23
SW90,2018-08-06,2638.57,12217.25,430.0,14855.82
SW90,2018-08-11,3581.61,15522.64,433.0,19104.25
SW90,2018-08-13,3507.65,6803.77,208.0,10311.42
SW90,2018-08-20,3495.55,6830.23,210.0,10325.78
SW90,2018-08-27,3522.97,5847.9,180.0,9370.87
SW90,2018-08-30,4147.11,17260.18,487.0,21407.29
SW90,2018-09-03,3947.36,7607.32,207.0,11554.69
SW90,2018-09-08,3816.83,10156.1,254.0,13972.92
SW90,2018-09-10,3275.4,7164.81,177.0,10440.21
SW90,2018-09-24,1630.7,5361.18,226.0,6991.87
SW90,2018-10-01,740.65,1243.91,93.0,1984.57
SW90,2018-10-08,487.39,1256.58,124.0,1743.97
SW90,2018-10-15,291.3,693.12,77.0,984.42
SW90,2018-10-22,142.78,779.16,101.0,921.93
SW90,2018-10-29,65.62,753.82,111.0,819.44
SW90,2019-07-01,300.5,497.43,139.0,797.93
SW90,2019-07-08,344.21,236.82,64.0,581.03
SW90,2019-07-15,1098.92,1538.69,156.0,2637.61
SW90,2019-07-22,3704.87,2992.19,96.0,6697.06
SW90,2019-07-29,3884.55,3976.76,131.0,7861.3
SW90,2019-08-05,3154.54,4717.94,167.0,7872.47
SW90,2019-08-11,2976.12,2896.64,103.0,5872.75
SW90,2019-08-19,3000.26,5940.88,211.0,8941.14
SW90,2019-08-26,4183.81,2579.39,73.0,6763.21
SW90,2019-08-28,4673.31,4441.2,119.0,9114.51
SW90,2019-09-02,3524.71,4822.42,153.0,8347.13
SW90,2019-09-09,3209.5,2832.67,94.0,6042.17
SW90,2019-09-16,3319.92,1513.72,50.0,4833.63
SW90,2019-09-22,3901.61,3603.35,84.0,7504.97
SW90,2019-09-23,3954.26,3230.0,73.0,7184.26
SW90,2019-09-27,4023.91,3694.1,79.0,7718.02
SW90,2019-09-30,4044.72,3461.55,67.0,7506.27
SW90,2019-10-03,4064.2,5868.11,104.0,9932.31
SW90,2019-10-07,4040.57,1564.97,31.0,5605.53
SW90,2019-10-14,1769.91,2046.95,61.0,3816.85
SW90,2019-10-21,343.29,1296.66,72.0,1639.95
SW90,2019-10-28,133.34,602.24,45.0,735.58
SW90,2020-07-06,1421.91,12151.84,764.0,13573.75
SW90,2020-07-13,2187.13,11374.56,530.3,13561.69
SW90,2020-07-18,3865.11,22831.99,618.2,26697.1
SW90,2020-07-20,4363.83,47403.77,1178.2,51767.6
SW90,2020-07-27,5108.28,29118.39,672.5,34226.67
SW90,2020-07-29,5575.34,11875.04,262.0,17450.38
SW90,2020-08-03,4590.73,22775.26,527.1,27365.99
SW90,2020-08-10,4043.25,28737.36,740.0,32780.61
SW90,2020-08-17,3718.66,41288.3,1141.2,45006.96
SW90,2020-08-21,4233.44,57305.64,1456.6,61539.08
SW90,2020-08-24,4303.44,31521.42,812.8,35824.86
SW90,2020-08-31,4183.97,25914.75,722.3,30098.72
SW90,2020-09-07,3532.26,35332.34,1018.6,38864.6
SW90,2020-09-14,3639.37,15841.15,475.9,19480.52
SW90,2020-09-21,3094.19,43746.92,1321.4,46841.11
SW90,2020-09-28,3154.37,25966.48,751.4,29120.85
SW90,2020-10-05,2554.01,27035.1,800.2,29589.11
SW90,2020-10-12,1448.52,7381.7,311.8,8830.22
SW90,2020-10-19,301.03,9439.4,603.3,9740.43
SW90,2020-10-27,209.08,3498.13,332.8,3707.21
SW90,2021-07-05,2127.04,2299.34,110.37,4426.38
SW90,2021-07-12,2410.1,1988.81,93.22,4398.91
SW90,2021-07-19,2398.3,2056.1,95.95,4454.4
SW90,2021-07-24,3065.16,1443.78,58.69,4508.94
SW90,2021-07-26,3009.22,2542.1,107.09,5551.32
SW90,2021-07-31,3741.18,1357.14,46.53,5098.32
SW90,2021-08-02,3618.16,1847.02,65.06,5465.18
SW90,2021-08-09,4244.07,3872.42,104.28,8116.49
SW90,2021-08-16,5234.04,3563.16,76.32,8797.2
SW90,2021-08-21,6463.94,5922.3,105.02,12386.24
SW90,2021-08-23,6140.7,4688.43,85.51,10829.13
SW90,2021-08-31,5040.93,2732.58,60.07,7773.51
SW90,2021-09-06,5073.52,2549.05,54.49,7622.57
SW90,2021-09-13,4307.81,2852.44,71.59,7160.25
SW90,2021-09-20,3212.14,2785.03,95.16,5997.17
SW90,2021-09-25,3261.8,1000.34,33.96,4262.14
SW90,2021-09-27,2997.88,2138.95,72.9,5136.83
SW90,2021-10-04,2616.36,2578.08,88.54,5194.44
SW90,2021-10-11,2434.04,1280.05,44.16,3714.09
SW90,2021-10-18,643.56,1989.9,93.46,2633.46
SW90,2021-10-25,261.77,1455.58,55.31,1717.35
SW90,2022-07-04,656.61,504.99,64.39,1161.6
SW90,2022-07-12,653.5,679.49,82.06,1332.99
SW90,2022-07-18,601.4,294.44,45.54,895.84
SW90,2022-07-25,650.4,778.76,113.2,1429.16
SW90,2022-08-01,1264.46,758.99,61.34,2023.45
SW90,2022-08-08,2940.26,1039.76,37.72,3980.02
SW90,2022-08-16,2861.01,1632.18,66.02,4493.19
SW90,2022-08-22,2591.93,2251.81,92.89,4843.74
SW90,2022-08-29,3320.98,1677.74,57.3,4998.72
SW90,2022-09-03,4246.22,3613.46,97.9,7859.68
SW90,2022-09-05,4634.19,2776.43,72.21,7410.62
SW90,2022-09-07,4995.07,3717.51,92.04,8712.58
SW90,2022-09-12,3723.53,2578.42,82.23,6301.95
SW90,2022-09-19,2439.98,1761.88,82.92,4201.86
SW90,2022-09-26,3188.47,1155.39,40.54,4343.86
SW90,2022-09-29,3538.27,1593.64,53.7,5131.91
SW90,2022-10-03,2769.43,1908.13,73.05,4677.56
SW90,2022-10-06,2140.75,1371.49,60.26,3512.24
SW90,2022-10-10,1985.23,1316.98,59.27,3302.21
SW90,2022-10-17,2551.28,1422.48,45.61,3973.76
SW90,2022-10-24,2245.29,2282.19,75.96,4527.48
SW90,2022-10-31,1121.21,1258.97,74.37,2380.18
SW90,2023-07-03,620.82,97.96,17.37,718.78
SW90,2023-07-10,695.12,235.16,22.84,930.28
SW90,2023-07-17,955.33,255.53,20.04,1210.86
SW90,2023-07-19,1088.28,349.3,26.01,1437.58
SW90,2023-07-24,1139.34,433.63,31.54,1572.97
SW90,2023-07-31,1406.58,341.52,21.67,1748.1
SW90,2023-08-02,3461.37,832.65,25.63,4294.02
SW90,2023-08-07,2164.57,494.23,26.03,2658.8
SW90,2023-08-14,3524.06,635.97,19.94,4160.03
SW90,2023-08-17,3461.37,832.65,25.63,4294.02
SW90,2023-08-21,3168.3,868.54,28.76,4036.84
SW90,2023-08-28,3019.08,648.68,25.54,3667.76
SW90,2023-09-03,3219.67,639.96,22.54,3859.63
SW90,2023-09-04,3130.22,694.41,25.1,3824.63
SW90,2023-09-11,2170.24,461.35,24.66,2631.59
SW90,2023-09-18,1311.43,376.63,26.37,1688.06
SW90,2023-09-25,2138.72,475.81,23.98,2614.53
SW90,2023-09-28,2886.48,384.01,15.78,3270.49
SW90,2023-10-02,2858.49,507.67,21.66,3366.16
SW90,2023-10-09,2275.7,415.18,14.81,2690.88
SW90,2023-10-16,1265.26,409.39,25.03,1674.65
SW90,2023-10-23,402.24,158.03,16.98,560.27
SW90,2023-10-30,106.01,207.83,26.99,313.84
SW90,2024-07-01,676.73,132.38,22.1,809.11
SW90,2024-07-08,706.45,183.85,19.49,890.3
SW90,2024-07-15,2934.38,867.75,39.71,3802.13
SW90,2024-07-18,2914.29,931.01,41.36,3845.3
SW90,2024-07-24,2262.42,308.33,14.54,2570.75
SW90,2024-07-29,2160.64,436.0,21.49,2596.64
SW90,2024-08-06,2270.39,524.18,24.86,2794.57
SW90,2024-08-12,3185.87,531.97,18.07,3717.84
SW90,2024-08-18,5200.44,1000.26,23.12,6200.7
SW90,2024-08-19,3937.36,1586.93,39.14,5524.29
SW90,2024-08-27,4852.31,1618.44,43.01,6470.75
SW90,2024-09-02,3511.49,1047.41,28.93,4558.9
SW90,2024-09-09,2837.63,895.26,29.04,3732.89
SW90,2024-09-17,2317.32,532.15,19.34,2849.47
SW90,2024-09-23,5240.29,793.06,19.99,6033.35
SW90,2024-09-26,5637.28,1318.55,29.06,6955.83
SW90,2024-09-30,4180.39,850.6,24.56,5030.99
SW90,2024-10-06,5546.3,766.86,18.85,6313.16
SW90,2024-10-07,4788.08,1571.19,39.56,6359.27
SW90,2024-10-14,2049.53,573.92,21.43,2623.45
SW90,2024-10-21,839.92,777.03,34.48,1616.95
SW90,2024-10-28,407.36,194.55,17.15,601.91
SW91.9L,2011-01-06,0.0,842.35,110.0,842.35
SW91.9L,2011-01-20,0.0,861.36,130.0,861.36
SW91.9L,2011-02-02,0.0,522.5,90.0,522.5
SW91.9L,2011-02-17,0.0,660.76,120.0,660.76
SW91.9L,2011-03-03,0.0,507.01,90.0,507.01
SW91.9L,2011-03-16,0.0,658.28,130.0,658.28
SW91.9L,2011-03-31,0.0,165.82,160.0,165.82
SW91.9L,2011-04-13,0.0,1228.36,150.0,1228.36
SW91.9L,2011-04-28,0.0,1971.07,190.0,1971.07
SW91.9L,2011-05-12,0.0,2616.09,200.0,2616.09
SW91.9L,2011-05-26,1308.56,1684.68,220.0,2993.24
SW91.9L,2011-06-09,2027.28,1855.24,280.0,3882.52
SW91.9L,2011-06-25,2418.57,4588.91,320.0,7007.48
SW91.9L,2011-07-12,0.0,39987.97,490.0,39987.97
SW91.9L,2011-07-25,0.0,39124.4,480.0,39124.4
SW91.9L,2011-08-04,10245.47,13890.13,190.0,24135.6
SW91.9L,2011-08-20,0.0,124421.26,1370.0,124421.26
SW91.9L,2011-09-10,10595.99,44485.13,860.0,55081.12
SW91.9L,2011-09-15,14901.42,74554.88,1180.0,89456.3
SW91.9L,2011-09-29,27567.35,16989.22,230.0,44556.57
SW91.9L,2012-01-05,0.0,1448.35,170.0,1448.35
SW91.9L,2012-01-20,0.0,716.11,100.0,716.11
SW91.9L,2012-02-02,0.0,673.04,100.0,679.04
SW91.9L,2012-02-18,0.0,660.32,110.0,660.32
SW91.9L,2012-03-01,0.0,3147.12,560.0,3147.12
SW91.9L,2012-03-15,0.0,995.56,170.0,995.56
SW91.9L,2012-04-03,0.0,1039.47,190.0,1039.47
SW91.9L,2012-04-25,0.0,873.99,110.0,873.99
SW91.9L,2012-05-08,0.0,17.39,130.0,17.39
SW91.9L,2012-05-22,0.0,8.01,90.0,8.01
SW91.9L,2012-06-09,1049.43,14326.24,460.0,14326.24
SW91.9L,2012-06-21,5170.62,14289.89,380.0,14289.89
SW91.9L,2012-07-19,23874.74,32373.5,470.0,32379.5
SW91.9L,2012-08-02,13695.27,109344.67,1620.0,109344.67
SW91.9L,2012-08-13,10386.1,39592.46,630.0,39592.46
SW91.9L,2012-08-30,11027.98,24636.89,410.0,24636.89
SW91.9L,2012-09-13,131.87,2134.06,970.0,2265.93
SW91.9L,2012-09-27,43030.92,103013.06,1070.0,103013.06
SW91.9L,2012-10-01,37007.44,101836.37,1140.0,101836.37
SW91.9L,2012-10-11,6761.93,57858.44,1020.0,57858.44
SW91.9L,2012-10-23,3433.77,16369.74,520.0,16369.74
SW91.9L,2012-11-11,546.52,7070.74,430.0,7070.74
SW91.9L,2012-11-22,303.61,2847.7,210.0,2847.7
SW91.9L,2012-12-19,3.43,15.09,80.0,18.52
SW91.9L,2013-01-03,91.46,6911.15,960.0,7002.61
SW91.9L,2013-01-20,33.73,5949.99,1005.0,5983.72
SW91.9L,2013-01-30,16.82,5377.59,1100.0,5394.41
SW91.9L,2013-02-14,17.27,5167.83,1070.0,5185.1
SW91.9L,2013-02-27,23.55,7153.02,1330.0,7176.57
SW91.9L,2013-03-14,25.97,10077.43,1910.0,10103.4
SW91.9L,2013-03-24,18.29,5146.91,1190.0,5165.2
SW91.9L,2013-03-28,24.55,4834.97,1010.0,4859.52
SW91.9L,2013-04-11,33.9,7226.86,990.0,7260.76
SW91.9L,2013-04-25,360.84,13321.1,1190.0,13681.94
SW91.9L,2013-05-11,706.1,11850.22,670.0,12556.32
SW91.9L,2013-05-22,22012.12,15165.1,800.0,37177.22
SW91.9L,2013-06-06,2715.76,16782.34,670.0,19498.1
SW91.9L,2013-06-20,2258.98,12342.83,570.0,14601.81
SW91.9L,2013-07-07,9293.51,79265.88,1310.0,88559.39
SW91.9L,2013-07-21,22211.01,87462.55,1170.0,109673.56
SW91.9L,2013-08-03,13683.63,67911.14,880.0,81594.77
SW91.9L,2013-08-17,9628.48,47850.21,670.0,57478.69
SW91.9L,2013-08-29,11560.69,27501.95,400.0,39062.64
SW91.9L,2013-09-10,12199.03,122923.51,1400.0,135122.54
SW91.9L,2013-09-12,14591.34,175975.3,1910.0,190566.64
