Station_ID,Datetime,Reading_Type,WL_mMSL
SW93.5L,2015-01-01 06:00:00,HIGH,1.147
SW93.5L,2015-01-01 06:00:00,REGULAR,1.147
SW93.5L,2015-01-01 09:00:00,REGULAR,1.037
SW93.5L,2015-01-01 12:00:00,REGULAR,0.927
SW93.5L,2015-01-01 14:00:00,LOW,0.897
SW93.5L,2015-01-01 14:00:00,REGULAR,0.897
SW93.5L,2015-01-01 15:00:00,REGULAR,0.937
SW93.5L,2015-01-01 18:00:00,REGULAR,1.077
SW93.5L,2015-01-02 06:00:00,HIGH,1.257
SW93.5L,2015-01-02 06:00:00,REGULAR,1.257
SW93.5L,2015-01-02 09:00:00,REGULAR,1.147
SW93.5L,2015-01-02 12:00:00,REGULAR,1.037
SW93.5L,2015-01-02 15:00:00,LOW,0.927
SW93.5L,2015-01-02 15:00:00,REGULAR,0.927
SW93.5L,2015-01-02 18:00:00,REGULAR,1.167
SW93.5L,2015-01-03 06:00:00,REGULAR,1.387
SW93.5L,2015-01-03 07:00:00,HIGH,1.407
SW93.5L,2015-01-03 07:00:00,REGULAR,1.407
SW93.5L,2015-01-03 09:00:00,REGULAR,1.337
SW93.5L,2015-01-03 12:00:00,REGULAR,1.177
SW93.5L,2015-01-03 15:00:00,REGULAR,1.007
SW93.5L,2015-01-03 15:30:00,LOW,0.987
SW93.5L,2015-01-03 15:30:00,REGULAR,0.987
SW93.5L,2015-01-03 18:00:00,REGULAR,1.207
SW93.5L,2015-01-04 06:00:00,REGULAR,1.467
SW93.5L,2015-01-04 07:00:00,HIGH,1.517
SW93.5L,2015-01-04 07:00:00,REGULAR,1.517
SW93.5L,2015-01-04 09:00:00,REGULAR,1.447
SW93.5L,2015-01-04 12:00:00,REGULAR,1.277
SW93.5L,2015-01-04 15:00:00,REGULAR,1.087
SW93.5L,2015-01-04 16:00:00,LOW,1.057
SW93.5L,2015-01-04 16:00:00,REGULAR,1.057
SW93.5L,2015-01-04 18:00:00,REGULAR,1.197
SW93.5L,2015-01-05 06:00:00,REGULAR,1.337
SW93.5L,2015-01-05 08:00:00,HIGH,1.527
SW93.5L,2015-01-05 08:00:00,REGULAR,1.527
SW93.5L,2015-01-05 09:00:00,REGULAR,1.497
SW93.5L,2015-01-05 12:00:00,REGULAR,1.327
SW93.5L,2015-01-05 15:00:00,REGULAR,1.157
SW93.5L,2015-01-05 17:00:00,LOW,1.087
