Target,Station_Name,Architecture,Lambda_Mass,Lambda_Momentum,RMSE,MAE,NSE,KGE,PI,RMSE_Peak
SW91.9R,Goalundo,PI-STGNN (Full Physics),0.15,0.1,0.01097858719836494,0.00908272745945642,0.999975090437823,0.996888321083173,0.9901228944111745,0.01566851049535679
SW91.9R,Goalundo,"STGNN (Data-Only, lambda=0)",0.0,0.0,0.00665200742765988,0.004333538837553127,0.9999908551068837,0.9993402728998675,0.9963738794657921,0.009270350157141269
SW91.9R,Goalundo,PI-STGNN (Mass Conservation Only),0.15,0.0,0.012812282265690186,0.007447790800288499,0.9999660745061083,0.9971182192469605,0.9865479094759331,0.02001170589990243
SW91.9L,Baruria,PI-STGNN (Full Physics),0.15,0.1,0.0052901065023760584,0.00396861361687485,0.9999936068620238,0.9990433313409364,0.9973630841535903,0.0057312842432244646
SW91.9L,Baruria,"STGNN (Data-Only, lambda=0)",0.0,0.0,0.023602682274922175,0.01827760623512921,0.9998727352974233,0.9937408893870394,0.9475083578419701,0.034761739822378596
SW91.9L,Baruria,PI-STGNN (Mass Conservation Only),0.15,0.0,0.011012612456361684,0.00903713440313873,0.9999722945021212,0.9968324976852129,0.9885725809983669,0.01797414375248955
SW93.4L,Bhagyakul,PI-STGNN (Full Physics),0.15,0.1,0.0061207419550277755,0.003025424085341049,0.9999831908370364,0.9988613676289904,0.9961519827043189,0.0048150445167987384
SW93.4L,Bhagyakul,"STGNN (Data-Only, lambda=0)",0.0,0.0,0.00532924712460632,0.0024579312330830563,0.9999872570591879,0.9994585514567225,0.9970828376910509,0.003842800830640512
SW93.4L,Bhagyakul,PI-STGNN (Mass Conservation Only),0.15,0.0,0.008158707772055053,0.00714831874178359,0.9999701337495541,0.9972586927095585,0.9931629047489756,0.010176424797430968
SW93.5L,Mawa (Bridge Site),PI-STGNN (Full Physics),0.15,0.1,0.004689147623403027,0.0028022274737809784,0.9999897869787711,0.9987384720678942,0.9975958631765353,0.0053814639075861195
SW93.5L,Mawa (Bridge Site),"STGNN (Data-Only, lambda=0)",0.0,0.0,0.005003560148779675,0.0033088819817359157,0.999988371473855,0.9986915639044218,0.9972626544798733,0.0019319869074233096
SW93.5L,Mawa (Bridge Site),PI-STGNN (Mass Conservation Only),0.15,0.0,0.010876747256723425,0.007696101078124642,0.9999450504047597,0.9983969412031342,0.9870649103344985,0.010060547139084337
SW95,Sureswar,PI-STGNN (Full Physics),0.15,0.1,0.008554933177090327,0.004164165101014079,0.9999349586266425,0.9978358007212459,0.993510722601099,0.004878524265088021
SW95,Sureswar,"STGNN (Data-Only, lambda=0)",0.0,0.0,0.012396414310836119,0.008290803052795427,0.9998634321019516,0.9955372428457887,0.9863744117248299,0.011338164801896066
SW95,Sureswar,PI-STGNN (Mass Conservation Only),0.15,0.0,0.010438684900402907,0.005326811036250241,0.999903161503903,0.9967142839652128,0.9903382749836609,0.008018670053847968
