station,name,year,q_star,wl,lo,hi,n
SW90,Hardinge Br.,2011,10000,9.241476596994818,9.238543594523843,9.24355318976688,15
SW90,Hardinge Br.,2011,40000,12.893581774910011,12.89248502857792,12.894516594877423,70
SW90,Hardinge Br.,2012,10000,9.08802454589156,9.084107592294473,9.090677308697868,24
SW90,Hardinge Br.,2012,40000,13.37666429073844,13.375599277237749,13.379638301079526,9
SW90,Hardinge Br.,2013,10000,8.935713455569472,8.9331885422856,8.93745767008619,28
SW90,Hardinge Br.,2013,40000,12.63379292873984,12.632781780349914,12.63482388612793,66
SW90,Hardinge Br.,2014,10000,8.742160020373225,8.740825700289776,8.743279712087183,42
SW90,Hardinge Br.,2014,40000,12.689690401493433,12.688504828659758,12.691356458765531,14
SW90,Hardinge Br.,2015,10000,9.95446749892887,9.950707222026347,9.957756537901266,61
SW90,Hardinge Br.,2016,10000,10.234344000454957,10.229092951921585,10.23829198773629,31
SW90,Hardinge Br.,2017,10000,9.634088135098832,9.42096216325419,9.932733694790029,32
SW90,Hardinge Br.,2017,40000,13.267548653515508,13.266325635788153,13.26910746495895,15
SW90,Hardinge Br.,2018,10000,9.155408347570088,9.15174131542833,9.158144809784256,45
SW90,Hardinge Br.,2019,10000,8.816675391639441,8.810036208609667,8.819522769695805,23
SW90,Hardinge Br.,2019,40000,12.313562351646688,12.311422456893785,12.315886807970955,33
SW90,Hardinge Br.,2020,10000,8.948275319348603,8.941352200617763,8.952954107808278,22
SW90,Hardinge Br.,2020,40000,12.349579910634695,12.349000779972702,12.350163814440599,68
SW90,Hardinge Br.,2021,10000,8.887191802740684,8.624895007839072,8.925508373453342,8
SW90,Hardinge Br.,2021,40000,12.441210168340834,12.43848126910916,12.44365230761733,57
SW90,Hardinge Br.,2022,10000,8.679681393569037,8.57351906984541,8.772889918644827,44
SW90,Hardinge Br.,2022,40000,12.529590608396965,12.524313721212337,12.532981849443463,25
SW90,Hardinge Br.,2023,10000,9.462274896949635,9.457383970630387,9.465866581728415,36
SW90,Hardinge Br.,2024,10000,9.740170404293522,9.736989014172728,9.742351283140511,14
SW91.9L,Baruria,2011,30000,5.4372391559421835,5.436388691286075,5.438430157488188,40
SW91.9L,Baruria,2011,70000,7.487248029123478,7.4866357923436135,7.487824685571004,91
SW91.9L,Baruria,2012,30000,5.331040646840716,5.329469025379589,5.3324286704712796,27
SW91.9L,Baruria,2012,70000,7.553484483068075,7.552097586733299,7.55465093418859,95
SW91.9L,Baruria,2013,30000,5.4397688261955,5.439157954594839,5.4402446030383285,73
SW91.9L,Baruria,2013,70000,7.466021034933696,7.460425460146104,7.470197941541118,78
SW91.9L,Baruria,2014,30000,5.1295172332743455,5.1285994067136365,5.130358377974156,47
SW91.9L,Baruria,2014,70000,7.263307782537218,7.260317961423036,7.265122613158739,65
SW91.9L,Baruria,2015,30000,5.339439692125701,5.338258682847648,5.340472910582284,27
SW91.9L,Baruria,2015,70000,7.299678283111,7.29563583770506,7.302150046980744,31
SW91.9L,Baruria,2016,30000,5.667929219450858,5.665462182288684,5.670051169520238,42
SW91.9L,Baruria,2016,70000,7.786354803699844,7.784323547428431,7.787808765639154,37
SW91.9L,Baruria,2017,30000,5.420553076639823,5.418972793015649,5.421959826162179,45
SW91.9L,Baruria,2017,70000,7.681992211695022,7.677106485167871,7.684991486633462,67
SW91.9L,Baruria,2018,30000,5.25711498696689,5.255843234335341,5.258181629296982,37
SW91.9L,Baruria,2018,70000,7.338362849948439,7.337690090882852,7.338936904286764,84
SW91.9L,Baruria,2019,30000,5.697303566199725,5.696417632592719,5.697932954066212,43
