transect,year,area_low_m2,width_low_m,area_flood_m2,width_flood_m,mean_bed_m,thalweg_m,thalweg_x_m,char_width_m,era
RMG12,2011,2806.1134615384613,810.0,24844.785342827665,6090.0,8.950396495430596,-1.0952307692307692,3810.0,5280.0,Before
RMG12,2012,2745.3666666666663,870.0,25688.25833386958,6060.0,8.791013476259144,-0.3986666666666666,4120.0,5190.0,Before
RMG12,2013,4291.24,730.0,27190.652916666662,5920.0,8.436984304617118,-9.6376,4250.0,5190.0,Before
RMG12,2014,1845.1033333333328,820.0,25144.059901960783,5890.0,8.761059439395453,0.32568,4430.0,5070.0,Before
RMG12,2017,7086.999999999999,1270.0,29246.465928414673,6140.0,8.266731933482951,-7.660800000000001,5700.0,4870.0,During
RMG12,2018,5044.806892230576,1210.0,27072.77288268531,6150.0,8.627923108506453,-5.84,5850.0,4940.0,During
RMG12,2019,2911.6880952380952,850.0,22506.936247921403,6100.0,9.340338320012883,-4.204,5280.0,5250.0,During
RMG12,2020,6119.616666666666,1510.0,29940.839742063486,5960.0,8.006369170794715,-4.751114285714285,5080.0,4450.0,During
RMG12,2021,2803.2999999999997,830.0,23994.413004101156,5970.0,9.010835342696623,-0.2986,5640.0,5140.0,During
RMG12,2022,3463.501569956897,1040.0,27769.435078084214,6050.0,8.440010730895171,-1.6239011243742714,6460.0,5010.0,During
RMG12,2023,1843.2800045781528,1570.0,26090.24097680037,6110.0,8.759911460425469,1.7157,6780.0,4540.0,After
RMG12,2024,3554.850467865468,600.0,23181.660383831855,6180.0,9.278922267988374,-3.860402797202796,6900.0,5580.0,After
RMP2,2011,32737.211052631577,4070.0,57426.69529207636,7850.0,-1.5755025849778779,-13.69,5480.0,3780.0,Before
RMP2,2012,24326.67729729729,3840.0,48446.279540628966,7820.0,-0.45517641184513624,-13.49025,6870.0,3980.0,Before
RMP2,2013,23991.26,3680.0,47957.2655898771,7810.0,-0.400494953889513,-9.823500000000001,5440.0,4130.0,Before
RMP2,2014,24788.70650793651,3460.0,46692.64069192589,7430.0,-0.5443392586710492,-12.885499999999999,6480.0,3970.0,Before
RMP2,2015,15068.720000000001,3560.0,38054.38872010343,7500.0,0.66608150398621,-7.151,6790.0,3940.0,During
RMP2,2016,30002.409999999996,3810.0,54718.778097165996,7690.0,-1.3755758253791923,-11.436273333333332,4500.0,3880.0,During
RMP2,2017,18630.29,3970.0,45004.12105851145,7740.0,-0.07448592487228102,-11.91046,4380.0,3770.0,During
RMP2,2018,25895.280000000002,3790.0,51576.84984789339,7760.0,-0.9065012690584268,-12.9404,4660.0,3970.0,During
RMP2,2019,19657.87050866444,3340.0,43902.587590961804,7930.0,0.20373422560380858,-12.850333333333333,3220.0,4590.0,During
RMP2,2020,19273.79,4170.0,45254.22333333334,7790.0,-0.06927128797603743,-12.1402,2770.0,3620.0,During
RMP2,2021,19118.86,2280.0,42723.600000000006,7780.0,0.2485347043701804,-13.7207,2250.0,5500.0,During
RMP2,2022,19122.02380952381,3240.0,46092.25333668746,7890.0,-0.1018572036359276,-14.713733333333334,690.0,4650.0,During
