season,reach,era,flow,n,mean_m,lo,hi
Monsoon (Jul-Oct),11-12,Before,All,492,2.139918699186992,2.0938582317073173,2.1884359756097562
Monsoon (Jul-Oct),11-12,Before,Low,169,1.997396449704142,1.9368417159763314,2.0412500000000002
Monsoon (Jul-Oct),11-12,Before,Mid,150,2.1691333333333334,2.136065,2.2102833333333334
Monsoon (Jul-Oct),11-12,Before,High,173,2.253815028901734,2.214566473988439,2.27121387283237
Monsoon (Jul-Oct),11-12,During,All,861,2.4671080139372825,2.407569396051103,2.535749709639953
Monsoon (Jul-Oct),11-12,During,Low,257,2.312178988326848,2.204454280155642,2.4134795719844355
Monsoon (Jul-Oct),11-12,During,Mid,288,2.492777777777778,2.3985321180555554,2.5867413194444446
Monsoon (Jul-Oct),11-12,During,High,316,2.569715189873418,2.5071756329113923,2.6299090189873415
Monsoon (Jul-Oct),11-12,After,All,492,2.442540650406504,2.3985096544715447,2.4904085365853654
Monsoon (Jul-Oct),11-12,After,Low,195,2.344666666666667,2.2856871794871796,2.4172884615384613
Monsoon (Jul-Oct),11-12,After,Mid,175,2.4714857142857145,2.4322228571428575,2.498061428571429
Monsoon (Jul-Oct),11-12,After,High,122,2.557459016393443,2.509176229508197,2.6187766393442615
Monsoon (Jul-Oct),12-13,Before,All,485,0.3076185567010309,0.2721072164948453,0.35671237113402066
Monsoon (Jul-Oct),12-13,Before,Low,162,0.22491358024691363,0.18639197530864196,0.28306790123456793
Monsoon (Jul-Oct),12-13,Before,Mid,150,0.29159999999999997,0.23038000000000003,0.3433383333333334
Monsoon (Jul-Oct),12-13,Before,High,173,0.39895375722543347,0.3462254335260116,0.45248121387283236
Monsoon (Jul-Oct),12-13,During,All,861,0.18125783972125437,0.16108246225319395,0.20215331010452964
Monsoon (Jul-Oct),12-13,During,Low,257,0.14716342412451366,0.11039299610894947,0.17848832684824908
Monsoon (Jul-Oct),12-13,During,Mid,288,0.17511805555555557,0.1500755208333333,0.19682204861111108
Monsoon (Jul-Oct),12-13,During,High,316,0.2145822784810127,0.18015110759493677,0.23989873417721524
Monsoon (Jul-Oct),12-13,After,All,492,0.11774390243902437,0.10638109756097557,0.13107876016260162
Monsoon (Jul-Oct),12-13,After,Low,195,0.1022564102564102,0.09456410256410251,0.10697435897435893
Monsoon (Jul-Oct),12-13,After,Mid,175,0.11302857142857141,0.10119857142857147,0.11994285714285709
Monsoon (Jul-Oct),12-13,After,High,122,0.14926229508196717,0.11409016393442623,0.18205122950819674
Monsoon (Jul-Oct),13-15,Before,All,485,1.5522164948453607,1.4779613402061855,1.626860824742268
Monsoon (Jul-Oct),13-15,Before,Low,162,1.3600864197530864,1.265814814814815,1.441263888888889
Monsoon (Jul-Oct),13-15,Before,Mid,150,1.6282666666666668,1.55633,1.6677366666666666
Monsoon (Jul-Oct),13-15,Before,High,173,1.6661907514450869,1.5365332369942195,1.7470621387283236
Monsoon (Jul-Oct),13-15,During,All,861,1.689636469221835,1.6181869918699188,1.7884114401858304
Monsoon (Jul-Oct),13-15,During,Low,257,1.473614785992218,1.3834484435797665,1.5923745136186767
Monsoon (Jul-Oct),13-15,During,Mid,288,1.6287708333333333,1.557203125,1.738081597222222
Monsoon (Jul-Oct),13-15,During,High,316,1.9207974683544302,1.8425332278481017,2.0381716772151894
Monsoon (Jul-Oct),13-15,After,All,491,1.1522606924643584,1.0605356415478615,1.2524312627291243
Monsoon (Jul-Oct),13-15,After,Low,195,0.9632307692307693,0.8391794871794871,1.0888910256410256
Monsoon (Jul-Oct),13-15,After,Mid,174,1.2086206896551723,1.1124626436781608,1.2922485632183907
Monsoon (Jul-Oct),13-15,After,High,122,1.3740163934426233,1.3000778688524588,1.4443524590163936
Dry (Jan-Apr),11-12,Before,All,450,1.0758666666666665,1.0247777777777778,1.1493583333333333
Dry (Jan-Apr),11-12,Before,Low,76,0.996842105263158,0.9643421052631581,1.0767138157894733
Dry (Jan-Apr),11-12,Before,Mid,178,1.0030337078651685,0.9747106741573034,1.0853398876404494
Dry (Jan-Apr),11-12,Before,High,196,1.1726530612244899,1.125655612244898,1.2513839285714285
Dry (Jan-Apr),11-12,During,All,962,1.0897920997921,1.0240114345114346,1.1416881496881495
Dry (Jan-Apr),11-12,During,Low,318,0.9423899371069182,0.88525,1.0126454402515723
Dry (Jan-Apr),11-12,During,Mid,326,1.0692638036809816,1.0293558282208588,1.1315659509202454
Dry (Jan-Apr),11-12,During,High,318,1.258238993710692,1.17399213836478,1.3193404088050316
Dry (Jan-Apr),11-12,After,All,361,0.9636288088642659,0.8975893351800553,1.0083981994459832
Dry (Jan-Apr),11-12,After,Low,196,0.9061734693877552,0.8663737244897959,0.9503571428571428
Dry (Jan-Apr),11-12,After,Mid,88,0.9823863636363637,0.9324943181818182,1.0426164772727273
Dry (Jan-Apr),11-12,After,High,77,1.0884415584415583,1.0429837662337662,1.1257175324675326
Dry (Jan-Apr),12-13,Before,All,481,0.049715176715176716,0.04029677754677755,0.06100675675675674
Dry (Jan-Apr),12-13,Before,Low,91,0.049373626373626384,0.0286043956043956,0.06971703296703288
Dry (Jan-Apr),12-13,Before,Mid,194,0.05114432989690722,0.037997422680412375,0.06712628865979381
Dry (Jan-Apr),12-13,Before,High,196,0.048459183673469394,0.03825510204081633,0.05835841836734695
Dry (Jan-Apr),12-13,During,All,962,0.061513513513513515,0.056918866943866955,0.06492461018711018
