target,train,test,n_train,n_test,PI,rmse_cm
11,Before,Before,711,305,0.8289981709597012,3.343254752506217
11,Before,During,1016,2473,0.7527703196586337,4.64459515893135
11,Before,After,1016,1248,0.7518356608044983,4.964295533034585
11,During,Before,2473,1016,0.8254643159799836,3.441366301915073
11,During,During,1731,742,0.8070576848289412,4.389884832257939
11,During,After,2473,1248,0.8314832444539938,4.090811661461605
11,After,Before,1248,1016,0.8001542741933565,3.682444564361622
11,After,During,1248,2473,0.8216472734468074,3.9449130740190657
11,After,After,873,375,0.778220629666101,4.932553501292212
12,Before,Before,711,305,0.7547967473681045,3.770006002203892
12,Before,During,1016,2473,0.5778122025429921,5.71246283089049
12,Before,After,1016,1248,0.5591541812852867,6.448235725407751
12,During,Before,2473,1016,0.7538018774756161,4.071805731185865
12,During,During,1731,742,0.7189519872204665,4.8281938086127125
12,During,After,2473,1248,0.7573690429970914,4.783773933115291
12,After,Before,1248,1016,0.72517359730029,4.302034685329
12,After,During,1248,2473,0.7329409302860801,4.543329292408236
12,After,After,873,375,0.7285252371825877,5.110227423279063
15,Before,Before,701,301,0.4388133154169116,6.308537422861963
15,Before,During,1002,2473,0.259966282483038,7.876385495604668
15,Before,After,1002,1240,-0.10018331019629412,10.878287385249637
15,During,Before,2473,1002,0.5813330120908323,5.814966522621329
15,During,During,1731,742,0.3556604339647036,7.530411151065584
15,During,After,2473,1240,0.6443066226373944,6.185372957899827
15,After,Before,1240,1002,0.34966809250223974,7.247369285124177
15,After,During,1240,2473,0.4435617255448139,6.829827069929867
15,After,After,868,372,0.6538891713818267,5.7209966819861
