target,era,goalundo_margin,p
12,Before,-3.0,1.6724186417743197e-17
12,Before,-2.95,3.7205453363814016e-17
12,Before,-2.9,8.27690941389132e-17
12,Before,-2.85,1.8413222592899178e-16
12,Before,-2.8,4.0962966887932627e-16
12,Before,-2.75,9.112824481408125e-16
12,Before,-2.7,2.0272840650469097e-15
12,Before,-2.65,4.509996531567249e-15
12,Before,-2.6,1.0033161639968601e-14
12,Before,-2.55,2.232026827274663e-14
12,Before,-2.5,4.9654774202254975e-14
12,Before,-2.45,1.1046446982393085e-13
12,Before,-2.4,2.457447302806818e-13
12,Before,-2.35,5.466958973955197e-13
12,Before,-2.3,1.216206768249393e-12
12,Before,-2.25,2.705633808816142e-12
12,Before,-2.2,6.0190869665465666e-12
12,Before,-2.15,1.339035895864859e-11
12,Before,-2.1,2.978885569130028e-11
12,Before,-2.05,6.626976365007393e-11
12,Before,-2.0,1.4742699818855514e-10
12,Before,-1.95,3.2797340137644803e-10
12,Before,-1.9,7.296258711655945e-10
12,Before,-1.8499999999999999,1.6231618459853713e-09
12,Before,-1.7999999999999998,3.6109662218675134e-09
12,Before,-1.75,8.033134253356397e-09
12,Before,-1.7,1.787090812209201e-08
12,Before,-1.65,3.975650638816467e-08
12,Before,-1.5999999999999999,8.84442887306478e-08
12,Before,-1.5499999999999998,1.9675752356814543e-07
12,Before,-1.5,4.377164257986847e-07
12,Before,-1.45,9.737651165834246e-07
12,Before,-1.4,2.1662835203559307e-06
12,Before,-1.3499999999999999,4.819208818679652e-06
12,Before,-1.2999999999999998,1.0720987333927548e-05
12,Before,-1.25,2.385012623674223e-05
12,Before,-1.2,5.305662231433664e-05
12,Before,-1.15,0.00011802472086249642
12,Before,-1.0999999999999999,0.0002625256939797992
12,Before,-1.0499999999999998,0.0005838399546180872
12,Before,-1.0,0.0012979112718121734
12,Before,-0.9499999999999997,0.002882815497739248
12,Before,-0.8999999999999999,0.006390692180062203
12,Before,-0.8500000000000001,0.014106646651486605
12,Before,-0.7999999999999998,0.030849399848319976
12,Before,-0.75,0.06613070434715247
12,Before,-0.6999999999999997,0.13609566881686144
12,Before,-0.6499999999999999,0.25951236913528697
12,Before,-0.5999999999999996,0.43809299071378216
12,Before,-0.5499999999999998,0.6342966378699059
12,Before,-0.5,0.7941776233215477
12,Before,-0.44999999999999973,0.8956587759984526
12,Before,-0.3999999999999999,0.9502394908444847
12,Before,-0.34999999999999964,0.9770022316671815
12,Before,-0.2999999999999998,0.989529741838702
12,Before,-0.25,0.995266240282047
12,Before,-0.19999999999999973,0.9978665728862806
12,Before,-0.1499999999999999,0.9990398776966403
12,Before,-0.09999999999999964,0.9995681881470048
12,Before,-0.04999999999999982,0.9998058505315175
12,Before,0.0,0.9999127187366961
12,Before,0.050000000000000266,0.9999607644007785
12,Before,0.10000000000000009,0.9999823628637907
12,Before,0.15000000000000036,0.9999920718714312
12,Before,0.20000000000000018,0.9999964362192416
12,Before,0.25,0.9999983980453054
12,Before,0.30000000000000027,0.9999992799063001
12,Before,0.3500000000000001,0.9999996763112673
12,Before,0.40000000000000036,0.9999998544989731
12,Before,0.4500000000000002,0.9999999345959726
12,Before,0.5,0.9999999706002995
12,Before,0.5500000000000003,0.9999999867845697
12,Before,0.6000000000000001,0.999999994059545
12,Before,0.6500000000000004,0.999999997329712
12,Before,0.7000000000000002,0.9999999987996815
12,Before,0.75,0.999999999460446
12,Before,0.8000000000000003,0.9999999997574656
12,Before,0.8500000000000001,0.9999999998909785
12,Before,0.9000000000000004,0.9999999999509939
12,Before,0.9500000000000002,0.9999999999779714
12,Before,1.0,0.9999999999900979
12,Before,1.0499999999999998,0.9999999999955489
12,Before,1.1000000000000005,0.9999999999979992
12,Before,1.1500000000000004,0.9999999999991007
12,Before,1.2000000000000002,0.9999999999995957
12,Before,1.25,0.9999999999998184
12,Before,1.2999999999999998,0.9999999999999183
12,Before,1.3500000000000005,0.9999999999999634
12,Before,1.4000000000000004,0.9999999999999836
12,Before,1.4500000000000002,0.9999999999999927
12,Before,1.5,0.9999999999999967
12,Before,1.5499999999999998,0.9999999999999984
12,Before,1.6000000000000005,0.9999999999999993
12,Before,1.6500000000000004,0.9999999999999998
12,Before,1.7000000000000002,0.9999999999999998
12,Before,1.75,1.0
12,Before,1.8000000000000007,1.0
12,Before,1.8500000000000005,1.0
12,Before,1.9000000000000004,1.0
12,Before,1.9500000000000002,1.0
12,Before,2.0,1.0
12,During,-3.0,2.1986938955119422e-10
12,During,-2.95,3.23377636231641e-10
12,During,-2.9,4.756146174923505e-10
12,During,-2.85,6.995204337326043e-10
12,During,-2.8,1.028834731232253e-09
12,During,-2.75,1.5131808207196065e-09
12,During,-2.7,2.225543254094014e-09
12,During,-2.65,3.2732656311536357e-09
12,During,-2.6,4.814225860179271e-09
12,During,-2.55,7.080626269807809e-09
12,During,-2.5,1.0413983426472059e-08
12,During,-2.45,1.531659015800472e-08
12,During,-2.4,2.2527204425013064e-08
12,During,-2.35,3.313237034147976e-08
12,During,-2.3,4.8730145927269325e-08
12,During,-2.25,7.167090914963015e-08
12,During,-2.2,1.0541152843099158e-07
12,During,-2.15,1.5503626619918848e-07
12,During,-2.1,2.2802290824564224e-07
12,During,-2.05,3.353695633476385e-07
12,During,-2.0,4.932519245607045e-07
12,During,-1.95,7.254607143558583e-07
12,During,-1.9,1.0669865931278531e-06
12,During,-1.8499999999999999,1.569292705095843e-06
12,During,-1.7999999999999998,2.3080693120002863e-06
12,During,-1.75,3.3946389216830386e-06
12,During,-1.7,4.992730267714628e-06
12,During,-1.65,7.343148225053297e-06
12,During,-1.5999999999999999,1.0800055941127598e-05
12,During,-1.5499999999999998,1.5884333930642353e-05
12,During,-1.5,2.3362051259986908e-05
12,During,-1.45,3.435986174503867e-05
12,During,-1.4,5.0534688653563286e-05
12,During,-1.3499999999999999,7.432321267127229e-05
12,During,-1.2999999999999998,0.00010930863984206658
12,During,-1.25,0.00016075976176637848
12,During,-1.2,0.00023642298640738152
12,During,-1.15,0.00034768549725817916
12,During,-1.0999999999999999,0.0005112822403770153
12,During,-1.0499999999999998,0.0007517984021047536
12,During,-1.0,0.00110533247347345
12,During,-0.9499999999999997,0.0016248460187544272
12,During,-0.8999999999999999,0.0023879506307078013
12,During,-0.8500000000000001,0.003508185949248157
12,During,-0.7999999999999998,0.005151232442205575
12,During,-0.75,0.0075579575172115545
12,During,-0.6999999999999997,0.01107661727311921
12,During,-0.6499999999999999,0.016206662673641677
12,During,-0.5999999999999996,0.023655812672618196
12,During,-0.5499999999999998,0.034409099216023746
12,During,-0.5,0.049801202247607826
12,During,-0.44999999999999973,0.07156827265547841
12,During,-0.3999999999999999,0.10182969989902736
12,During,-0.34999999999999964,0.1429169929998106
12,During,-0.2999999999999998,0.19694737729080122
12,During,-0.25,0.265086510185776
12,During,-0.19999999999999973,0.3466246092412312
12,During,-0.1499999999999999,0.438285706142096
12,During,-0.09999999999999964,0.5343619380600976
12,During,-0.04999999999999982,0.6279545720508306
12,During,0.0,0.7128444068290957
12,During,0.050000000000000266,0.7849966894580332
12,During,0.10000000000000009,0.8430121796948687
12,During,0.15000000000000036,0.887614269202805
12,During,0.20000000000000018,0.9207358611614276
12,During,0.25,0.9447041788331888
12,During,0.30000000000000027,0.9617261043701719
12,During,0.3500000000000001,0.9736542352476537
12,During,0.40000000000000036,0.9819347706537986
12,During,0.4500000000000002,0.9876457375574743
12,During,0.5,0.99156680010519
12,During,0.5500000000000003,0.9942506191776197
12,During,0.6000000000000001,0.9960837011228724
12,During,0.6500000000000004,0.9973339065569942
12,During,0.7000000000000002,0.9981857341336068
12,During,0.75,0.9987657361920164
12,During,0.8000000000000003,0.9991604735315317
12,During,0.8500000000000001,0.9994290397149174
12,During,0.9000000000000004,0.9996117244299103
12,During,0.9500000000000002,0.9997359727013175
12,During,1.0,0.9998204686382468
12,During,1.0499999999999998,0.9998779268725816
12,During,1.1000000000000005,0.9999169973746422
12,During,1.1500000000000004,0.9999435637490305
12,During,1.2000000000000002,0.9999616274385875
12,During,1.25,0.999973909589486
12,During,1.2999999999999998,0.9999822605836146
12,During,1.3500000000000005,0.9999879386316152
12,During,1.4000000000000004,0.9999917992599217
12,During,1.4500000000000002,0.9999944241770435
12,During,1.5,0.9999962089061202
12,During,1.5499999999999998,0.9999974223742921
12,During,1.6000000000000005,0.9999982474315015
12,During,1.6500000000000004,0.9999988084012655
12,During,1.7000000000000002,0.9999991898135281
