,goalundo_peak_margin_m,bhagyakul_peak_margin_m,padma_danger_days,ganges_jamuna_peak_gap_d,goalundo_warning_onset_doy,cluster,type,silhouette
2011,0.6000000000000005,0.0,118,42,185,0,Moderate flood,0.24937622581469548
2012,0.910000000000001,0.1400000000000005,64,5,180,1,Severe compound flood,0.24937622581469548
2013,0.6900000000000004,0.04,58,4,184,0,Moderate flood,0.24937622581469548
2014,0.660000000000001,-0.0299999999999993,47,7,197,0,Moderate flood,0.24937622581469548
2015,0.830000000000001,-0.08,49,1,164,1,Severe compound flood,0.24937622581469548
2016,1.4000000000000012,0.2800000000000002,62,27,177,1,Severe compound flood,0.24937622581469548
2017,1.4500000000000002,0.1800000000000006,67,3,177,1,Severe compound flood,0.24937622581469548
2018,0.3800000000000008,-0.5,44,1,186,0,Moderate flood,0.24937622581469548
2019,1.0600000000000014,0.04,71,74,194,0,Moderate flood,0.24937622581469548
2020,1.580000000000001,0.5,241,2,173,1,Severe compound flood,0.24937622581469548
2021,1.1700000000000008,-0.0699999999999994,87,14,176,1,Severe compound flood,0.24937622581469548
2022,0.2500000000000009,-0.75,34,76,168,2,Mild / non-coincident,0.24937622581469548
2023,0.5000000000000009,-0.7799999999999994,29,17,174,2,Mild / non-coincident,0.24937622581469548
2024,0.4600000000000008,-0.6999999999999993,31,75,185,2,Mild / non-coincident,0.24937622581469548
2025,0.5500000000000016,-0.5599999999999996,31,2,202,0,Moderate flood,0.24937622581469548
