year,ganges_peak,jamuna_peak,gap_days,goalundo_margin,bhagyakul_margin,bhagyakul_danger_days
2011,2011-10-02,2011-08-21,42,0.6000000000000005,0.0,1
2012,2012-09-26,2012-10-01,5,0.910000000000001,0.14000000000000057,3
2013,2013-09-07,2013-09-11,4,0.6900000000000004,0.040000000000000036,1
2014,2014-08-23,2014-08-30,7,0.660000000000001,-0.02999999999999936,0
2015,2015-08-28,2015-08-27,1,0.830000000000001,-0.08000000000000007,0
2016,2016-08-27,2016-07-31,27,1.4000000000000012,0.28000000000000025,9
2017,2017-08-21,2017-08-18,3,1.4500000000000002,0.1800000000000006,6
2018,2018-09-17,2018-09-18,1,0.3800000000000008,-0.5,0
2019,2019-10-02,2019-07-20,74,1.0600000000000014,0.040000000000000036,2
2020,2020-07-29,2020-07-27,2,1.580000000000001,0.5,24
2021,2021-08-21,2021-09-04,14,1.1700000000000008,-0.0699999999999994,0
2022,2022-09-07,2022-06-23,76,0.2500000000000009,-0.75,0
2023,2023-08-17,2023-09-03,17,0.5000000000000009,-0.7799999999999994,0
2024,2024-09-26,2024-07-13,75,0.46000000000000085,-0.6999999999999993,0
2025,2025-08-15,2025-08-17,2,0.5500000000000016,-0.5599999999999996,0
