,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2011,3,4,7,0,0,29,57,4,0,42,43,1,0,0,32,0,0
2012,0,0,0,0,0,0,8,23,0,23,26,3,0,0,12,0,0
2013,16,21,8,10,0,0,6,6,0,20,18,1,0,0,19,0,0
2014,0,0,0,0,0,0,11,15,0,18,15,0,0,0,14,0,0
2015,0,0,0,0,0,0,12,14,0,21,20,0,0,0,8,0,0
2016,9,9,0,9,0,8,23,13,5,21,17,9,1,0,14,0,0
2017,0,0,0,0,0,4,28,22,6,28,24,6,0,0,9,0,0
2018,0,0,0,0,0,1,1,1,0,23,21,0,0,0,0,0,0
2019,5,4,0,12,0,20,17,16,1,36,33,2,0,0,0,0,0
2020,0,0,0,0,0,16,35,36,16,92,77,24,22,7,26,0,0
2021,5,0,0,8,0,13,25,8,0,36,28,0,0,0,23,0,0
2022,0,0,0,0,0,0,0,7,0,17,3,0,0,0,14,0,0
2023,0,0,0,0,0,0,0,5,0,16,4,0,0,0,9,0,0
2024,0,0,0,0,0,0,0,13,0,17,10,0,0,0,4,0,0
2025,5,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0
