Id,n_years,DL,record,record_year,p_exceed_DL,T_DL,years_above_DL,RL2,RL2_lo,RL2_hi,RL10,RL10_lo,RL10_hi,RL25,RL25_lo,RL25_hi,RL50,RL50_lo,RL50_hi,RL100,RL100_lo,RL100_hi
1,15,21.63,22.19,2013,0.2507443251476467,3.9881261496592844,6,21.158991733769522,20.902681058430296,21.43181362040726,22.171972202484948,21.73561536626272,22.509947587113984,22.681817645915608,22.132696742801862,23.0762098105079,23.060050121157637,22.427060214680445,23.502782024441924,23.435489787173953,22.708144671699202,23.925281355975784
2,15,17.57,18.17,2013,0.23895812719964726,4.1848336012631595,4,17.045362221892773,16.797263796301117,17.286517993588642,18.10635426844241,17.605974943837456,18.440236235762296,18.640364525457016,17.94868337024179,19.071744274011923,19.0365238398488,18.198711791444033,19.536163536587644,19.42975797604858,18.441430077712628,20.00883123523068
4,15,13.03,13.46,2019,0.3160050067191586,3.164506823427404,4,12.781940541404923,12.598579083202273,12.94963336826538,13.558734713168446,13.205904368376913,13.769729065738735,13.949704708334645,13.453285910167034,14.225225331550627,14.239748585204532,13.626060692487606,14.56373332470664,14.527650823616046,13.800633072523679,14.902662432745334
5,15,13.05,12.96,2019,0.09750229295259266,10.256169057339172,0,12.282023978999833,12.099228322331337,12.44237595638858,13.039284983694245,12.693926434069501,13.249519702920884,13.420423697277506,12.923209215656556,13.69011737462788,13.703174167849802,13.088332678939377,14.017438991130394,13.983836853330972,13.250033388365361,14.337577698902235
6,15,10.34,11.05,2019,0.3436076868655813,2.91029577691374,7,10.131825685019365,9.925492002923367,10.349919716005418,10.918340555301453,10.512915394314657,11.248017239362431,11.31420309677009,10.798900966236486,11.716686269692804,11.60787654397752,11.005357667873891,12.065626005833847,11.899381552548938,11.211802068660464,12.41752901041333
7,15,9.07,10.52,2017,0.6985100923416036,1.4316185420424161,11,9.33023255554955,9.108472195139719,9.586151908062831,10.22480473485373,9.794249521067742,10.605863980352083,10.675053839869989,10.126031840589423,11.142881671201454,11.009074346790474,10.363889465078728,11.539098168957826,11.340628498719337,10.60598509974987,11.935028648391722
8,13,19.05,20.627,2019,0.8928910364996644,1.1199574854287115,12,19.64355472546322,19.406792573482125,19.887778947440253,20.599039170632235,20.145549557366657,20.91247171812873,21.07994616309977,20.458107207912406,21.480745337728955,21.43671044228654,20.673159855307144,21.914784014500068,21.79084043003738,20.88736700658923,22.34463504334559
9,14,8.95,9.333,2020,0.24132873507401792,4.143725361562477,4,8.602204477563053,8.419330261745557,8.80563637813648,9.314246299794844,8.978454486961514,9.579804853699796,9.672625646493705,9.258309303327277,9.987870596057427,9.93849191856517,9.455327027716812,10.298388198757081,10.202395075816911,9.655286938567384,10.606979812973345
10,15,7.499999999999999,9.08,2020,0.9993961371406256,1.0006042277300593,15,8.261232828359239,8.107272139444925,8.434153572809388,8.866411114941558,8.538615097946252,9.152197519340538,9.171004738813144,8.747026762227796,9.519383803289621,9.396969689141384,8.898991263191512,9.792613367925533,9.621266149746312,9.050968409314557,10.068152198991518
11,15,7.6,8.93,2017,0.9767391205382312,1.023814833431624,15,8.183699247562336,8.021374230062682,8.350264667059818,8.833893716671808,8.540747337713459,9.062637669185559,9.161144535080634,8.798076616543328,9.43900594013619,9.403917886625912,8.982992336012348,9.72022269142311,9.64489863785172,9.166625845401379,9.998775902752069
12,15,5.85,6.35,2020,0.3239304587778131,3.0870823440715998,7,5.635119542099305,5.458584299927259,5.821384242080506,6.343609796347939,6.05797756161084,6.548727636553769,6.700201595498582,6.352771624100316,6.935857032237692,6.964741762683776,6.568041011144906,7.2293030368870745,7.227328606799568,6.78203788294545,7.520580539005624
13,15,5.74,6.087,2020,0.1602347818416974,6.240842272234886,2,5.338255680755736,5.204629734365246,5.487306677808186,5.887256033053541,5.638172993499041,6.098190817008446,6.1635746163879395,5.857159985063623,6.415838818649559,6.368563526412698,6.016572192497205,6.656832398867759,6.572038830503117,6.175750241177559,6.894004408075857
15,15,3.46,4.01,2021,0.7000106249737714,1.4285497452806075,12,3.6062041338609347,3.4953641242985043,3.702718034034162,4.105013835221003,3.867882720019647,4.219501143920041,4.356070850861136,3.993706787339929,4.506326482720143,4.542319286884197,4.082391500480155,4.722043729052673,4.727192493691239,4.170415142446157,4.938404908991882
16,14,5.87,5.27,2020,0.03300829313130609,30.295416852426364,0,4.597715235863087,4.390207340900147,4.7994681230520735,5.389326502824219,5.05652045021782,5.603414645859111,5.78775412299375,5.379931796810955,6.038981995477686,6.083330492113558,5.605784240145606,6.365567974086837,6.376724371720657,5.815526718781511,6.690946907024583
17,14,3.93,3.78,2016,0.12373146342680313,8.082018690351775,0,3.3726362288678735,3.2118265671760273,3.527846137711935,4.005995614957614,3.7588907807275476,4.144489839182287,4.324773130442573,4.00805120755273,4.480544054097259,4.561260501835113,4.181066389620581,4.738975064251059,4.796001687598912,4.354413877008627,4.992152524946039
