Id,rise_p99_cm,rise3_max_cm,rise3_max_date
1,69.00000000000003,306.99999999999983,2021-06-21
2,59.42000000000015,255.9999999999999,2021-06-22
4,50.40999999999981,230.00000000000006,2019-07-17
5,44.40999999999988,202.99999999999994,2019-07-17
6,44.00000000000004,179.0,2023-06-21
7,41.99999999999999,190.99999999999997,2023-06-20
8,57.00000000000003,226.00000000000017,2023-06-19
9,40.00000000000002,186.00000000000003,2023-06-20
10,40.000000000000036,196.0,2023-06-20
11,40.40999999999986,183.0,2023-06-20
12,28.40999999999987,120.0,2024-05-27
13,27.000000000000025,121.0,2021-05-26
15,24.0,132.99999999999997,2024-05-27
16,21.000000000000043,131.0,2024-05-28
17,25.739999999999768,142.0,2021-05-26
