target,same_day,n_points,n_features,history_years,n_train,model,PI,rmse_cm
11,True,0,7,0.5,176,Ridge,0.45835328963516264,7.3038531291710544
11,True,0,7,0.5,176,Gradient boosting,-0.24130242069275187,11.05688462162013
11,True,0,7,1.0,357,Ridge,0.5418097719087062,6.717642502073399
11,True,0,7,1.0,357,Gradient boosting,0.07023404999225968,9.569313776682305
11,True,0,7,2.0,534,Ridge,0.5686750443280599,6.5177285612147955
11,True,0,7,2.0,534,Gradient boosting,0.0991879710899668,9.419135944565841
11,True,0,7,3.0,838,Ridge,0.5936009221693129,6.326599366277505
11,True,0,7,3.0,838,Gradient boosting,0.1974545426561366,8.890553444770017
11,True,0,7,5.0,1568,Ridge,0.6212965355431146,6.107220714916585
11,True,0,7,5.0,1568,Gradient boosting,0.39901311660177363,7.693544558028304
11,True,0,7,8.0,2460,Ridge,0.6292252485239127,6.042950723183475
11,True,0,7,8.0,2460,Gradient boosting,0.41587919035582277,7.584820648283924
11,True,0,7,11.0,3313,Ridge,0.6366340959642397,5.982270730142449
11,True,0,7,11.0,3313,Gradient boosting,0.4384129333189817,7.437081235577335
11,True,1,15,0.5,176,Ridge,0.8366699914005691,4.010762715778417
11,True,1,15,0.5,176,Gradient boosting,-0.18611436950527183,10.808296754928065
11,True,1,15,1.0,357,Ridge,0.867914580765158,3.606794643989366
11,True,1,15,1.0,357,Gradient boosting,0.3305708708364361,8.119817713877467
11,True,1,15,2.0,534,Ridge,0.8634934769723799,3.6666603225896357
11,True,1,15,2.0,534,Gradient boosting,0.35522763242489597,7.968878130243802
11,True,1,15,3.0,838,Ridge,0.8932052841774549,3.243163613404504
11,True,1,15,3.0,838,Gradient boosting,0.4594405957634381,7.29651853856881
11,True,1,15,5.0,1568,Ridge,0.9126566953788315,2.932977870975307
11,True,1,15,5.0,1568,Gradient boosting,0.6428923171661272,5.930530905492631
11,True,1,15,8.0,2460,Ridge,0.9215762821641127,2.7791864912218442
11,True,1,15,8.0,2460,Gradient boosting,0.669986815180279,5.701112647694049
11,True,1,15,11.0,3313,Ridge,0.920069307756678,2.8057615779681844
11,True,1,15,11.0,3313,Gradient boosting,0.6732474230503269,5.672878567939164
11,True,2,23,0.5,176,Ridge,0.8331230971912076,4.054077923189468
11,True,2,23,0.5,176,Gradient boosting,-0.19586256436133298,10.852620384213672
11,True,2,23,1.0,357,Ridge,0.8683065883728698,3.6014384829682817
11,True,2,23,1.0,357,Gradient boosting,0.20039211899337384,8.874267375301397
11,True,2,23,2.0,534,Ridge,0.8658918814139057,3.634306170875738
11,True,2,23,2.0,534,Gradient boosting,0.2475123195346144,8.60882091866424
11,True,2,23,3.0,838,Ridge,0.8823358536708402,3.404207708094394
11,True,2,23,3.0,838,Gradient boosting,0.41909281488716243,7.563927381722229
11,True,2,23,5.0,1568,Ridge,0.8931801699669586,3.243544927709764
11,True,2,23,5.0,1568,Gradient boosting,0.5542792417085283,6.625602956518153
11,True,2,23,8.0,2460,Ridge,0.8972691250184945,3.180859379959494
11,True,2,23,8.0,2460,Gradient boosting,0.5886677482364979,6.364882022544638
11,True,2,23,11.0,3313,Ridge,0.8905936980840832,3.2825786905266643
11,True,2,23,11.0,3313,Gradient boosting,0.615719794843146,6.152023468782316
11,True,3,31,0.5,176,Ridge,0.8012198248567346,4.424666182474827
11,True,3,31,0.5,176,Gradient boosting,-0.35433620414559197,11.549341436192597
11,True,3,31,1.0,357,Ridge,0.8779640626981403,3.4668723172819207
11,True,3,31,1.0,357,Gradient boosting,0.23712460915116307,8.668037456561068
11,True,3,31,2.0,534,Ridge,0.8786890184958523,3.456559482452648
11,True,3,31,2.0,534,Gradient boosting,0.21233779675330244,8.807729729111697
11,True,3,31,3.0,838,Ridge,0.8950655937900428,3.2147923875150113
11,True,3,31,3.0,838,Gradient boosting,0.36281068138665706,7.921879281965107
11,True,3,31,5.0,1568,Ridge,0.9060516005414643,3.041856129825161
11,True,3,31,5.0,1568,Gradient boosting,0.5642121003696559,6.551361439672519
11,True,3,31,8.0,2460,Ridge,0.9118476662281177,2.9465301126906462
11,True,3,31,8.0,2460,Gradient boosting,0.585176734026154,6.391834622222908
11,True,3,31,11.0,3313,Ridge,0.9074494109700526,3.019142211263441
11,True,3,31,11.0,3313,Gradient boosting,0.6158024894586502,6.151361495330667
11,True,4,39,0.5,176,Ridge,0.8254078087257093,4.146735975099272
11,True,4,39,0.5,176,Gradient boosting,-0.2976657239990501,11.305125642602585
11,True,4,39,1.0,357,Ridge,0.8097302540514448,4.32891288091353
11,True,4,39,1.0,357,Gradient boosting,-0.008437159400394023,9.965942951781916
11,True,4,39,2.0,534,Ridge,0.8474525972205884,3.8761126075920838
11,True,4,39,2.0,534,Gradient boosting,0.017357407590380403,9.837659096139015
11,True,4,39,3.0,838,Ridge,0.8862195839210798,3.347555109747212
11,True,4,39,3.0,838,Gradient boosting,0.004474797860549162,9.901935795578739
11,True,4,39,5.0,1568,Ridge,0.906585230378459,3.0332049087183965
11,True,4,39,5.0,1568,Gradient boosting,0.507161065538396,6.967010764864678
11,True,4,39,8.0,2460,Ridge,0.912312371788577,2.938753357344675
11,True,4,39,8.0,2460,Gradient boosting,0.5559924791425414,6.612857128975788
11,True,4,39,11.0,3313,Ridge,0.9078071615384209,3.0133013752071753
11,True,4,39,11.0,3313,Gradient boosting,0.5875176666175262,6.373773890580534
11,True,6,55,0.5,176,Ridge,0.6367553586765993,5.981272443155017
11,True,6,55,0.5,176,Gradient boosting,-0.4421637764519273,11.917942014717731
11,True,6,55,1.0,357,Ridge,0.854900460605948,3.780306330077744
11,True,6,55,1.0,357,Gradient boosting,0.003384399411401451,9.907357105118168
11,True,6,55,2.0,534,Ridge,0.8677262081198799,3.609365629441837
11,True,6,55,2.0,534,Gradient boosting,0.12684505615229424,9.273413712240652
11,True,6,55,3.0,838,Ridge,0.8975895169702326,3.1758953534036953
11,True,6,55,3.0,838,Gradient boosting,0.15856874542110477,9.103393094064357
11,True,6,55,5.0,1568,Ridge,0.9127000606901731,2.9322496795577258
11,True,6,55,5.0,1568,Gradient boosting,0.5100287206246082,6.9467119106403015
11,True,6,55,8.0,2460,Ridge,0.9169343120393543,2.86025537072973
11,True,6,55,8.0,2460,Gradient boosting,0.5688347919545089,6.516521480478021
11,True,6,55,11.0,3313,Ridge,0.9130745608763811,2.92595352240802
11,True,6,55,11.0,3313,Gradient boosting,0.6105080433629405,6.193600989592099
11,True,8,71,0.5,176,Ridge,0.4897721363240808,7.088854500948262
11,True,8,71,0.5,176,Gradient boosting,-0.29421190348819115,11.290070960373278
11,True,8,71,1.0,357,Ridge,0.8710064642768633,3.5643303621783695
11,True,8,71,1.0,357,Gradient boosting,0.09639398759072271,9.433731961733255
11,True,8,71,2.0,534,Ridge,0.8655601234364247,3.6387986852889695
11,True,8,71,2.0,534,Gradient boosting,0.17894589016768592,8.992487985810413
11,True,8,71,3.0,838,Ridge,0.8949157235666013,3.217087296129622
11,True,8,71,3.0,838,Gradient boosting,0.1358980448260353,9.22521444814826
11,True,8,71,5.0,1568,Ridge,0.9147585977716289,2.8974721430015777
11,True,8,71,5.0,1568,Gradient boosting,0.5226889912243815,6.856377201660919
11,True,8,71,8.0,2460,Ridge,0.9189190373569028,2.8258781064615834
11,True,8,71,8.0,2460,Gradient boosting,0.5764503540616527,6.45871525305495
11,True,8,71,11.0,3313,Ridge,0.9142886300330112,2.9054485877557403
11,True,8,71,11.0,3313,Gradient boosting,0.6016054356944355,6.263984562546223
11,True,all,87,0.5,176,Ridge,0.44245798835085826,7.41024855675303
11,True,all,87,0.5,176,Gradient boosting,-0.13891479930925943,10.591064057114215
11,True,all,87,1.0,357,Ridge,0.8745795095418667,3.5146187692376136
11,True,all,87,1.0,357,Gradient boosting,0.06774478952405127,9.582115166185575
11,True,all,87,2.0,534,Ridge,0.8646904053051487,3.650549764834076
