target,step,step_name,model,n_features,macro_f1,persistence_f1
11,0,Own lags,Logistic regression,7,0.6780243910678694,0.6802019036081758
11,0,Own lags,Gradient boosting,7,0.6789479174452914,0.6802019036081758
11,1,"+ rain, season",Logistic regression,11,0.6726602564429967,0.6802019036081758
11,1,"+ rain, season",Gradient boosting,11,0.6963336824918089,0.6802019036081758
11,2,+ Ganges (1-7),Logistic regression,25,0.7518239882849299,0.6802019036081758
11,2,+ Ganges (1-7),Gradient boosting,25,0.7592713722306991,0.6802019036081758
11,3,+ Jamuna (8-9),Logistic regression,29,0.7633435836949043,0.6802019036081758
11,3,+ Jamuna (8-9),Gradient boosting,29,0.7428496320226303,0.6802019036081758
11,4,+ Padma upstream,Logistic regression,31,0.8142946906244498,0.6802019036081758
11,4,+ Padma upstream,Gradient boosting,31,0.8210998746420831,0.6802019036081758
11,5,+ Meghna (16-17),Logistic regression,35,0.8340941807039037,0.6802019036081758
11,5,+ Meghna (16-17),Gradient boosting,35,0.8321966493025963,0.6802019036081758
12,0,Own lags,Logistic regression,7,0.6444892764380273,0.6397480380836088
12,0,Own lags,Gradient boosting,7,0.6379321175153699,0.6397480380836088
12,1,"+ rain, season",Logistic regression,11,0.6606052545224279,0.6397480380836088
12,1,"+ rain, season",Gradient boosting,11,0.6594809682718282,0.6397480380836088
12,2,+ Ganges (1-7),Logistic regression,25,0.6896010669595576,0.6397480380836088
12,2,+ Ganges (1-7),Gradient boosting,25,0.6903694228848828,0.6397480380836088
12,3,+ Jamuna (8-9),Logistic regression,29,0.6847268351660437,0.6397480380836088
12,3,+ Jamuna (8-9),Gradient boosting,29,0.6916051769571504,0.6397480380836088
12,4,+ Padma upstream,Logistic regression,33,0.7374519026037856,0.6397480380836088
12,4,+ Padma upstream,Gradient boosting,33,0.7448018589143542,0.6397480380836088
12,5,+ Meghna (16-17),Logistic regression,37,0.7769773681445814,0.6397480380836088
12,5,+ Meghna (16-17),Gradient boosting,37,0.7753926567698675,0.6397480380836088
15,0,Own lags,Logistic regression,7,0.6189249823946049,0.59655838282689
15,0,Own lags,Gradient boosting,7,0.6090750144809103,0.59655838282689
15,1,"+ rain, season",Logistic regression,11,0.6083558118286029,0.59655838282689
15,1,"+ rain, season",Gradient boosting,11,0.5950945369536461,0.59655838282689
15,2,+ Ganges (1-7),Logistic regression,25,0.6305270048201234,0.59655838282689
15,2,+ Ganges (1-7),Gradient boosting,25,0.6153602144663856,0.59655838282689
15,3,+ Jamuna (8-9),Logistic regression,29,0.619446945673309,0.59655838282689
15,3,+ Jamuna (8-9),Gradient boosting,29,0.6192693220198445,0.59655838282689
15,4,+ Padma upstream,Logistic regression,37,0.7399860925427181,0.59655838282689
15,4,+ Padma upstream,Gradient boosting,37,0.7210476636213525,0.59655838282689
15,5,+ Meghna (16-17),Logistic regression,41,0.7501665073874902,0.59655838282689
15,5,+ Meghna (16-17),Gradient boosting,41,0.7207063638991636,0.59655838282689
