gauge,threshold_cm,step,model,PR_AUC,POD,FAR,CSI,events
4,29.00000000000008,Persistence,Persistence,,0.5636363636363636,0.43636363636363634,0.3924050632911392,55
4,29.00000000000008,Own gauge,Logistic regression,0.5770060458595581,0.8909090909090909,0.6733333333333333,0.3141025641025641,55
4,29.00000000000008,Own gauge,Gradient boosting,0.5631565414310714,0.6363636363636364,0.5512820512820513,0.35714285714285715,55
4,29.00000000000008,+ upstream gauges,Logistic regression,0.7566184704102105,0.9454545454545454,0.5630252100840336,0.4262295081967213,55
4,29.00000000000008,+ upstream gauges,Gradient boosting,0.7903069304341459,0.6727272727272727,0.26,0.5441176470588235,55
4,29.00000000000008,"+ upstream, rain, season",Logistic regression,0.7596102902965491,0.9272727272727272,0.592,0.3953488372093023,55
4,29.00000000000008,"+ upstream, rain, season",Gradient boosting,0.772744115255476,0.6545454545454545,0.23404255319148937,0.5454545454545454,55
10,21.999999999999975,Persistence,Persistence,,0.5714285714285714,0.44,0.39436619718309857,49
10,21.999999999999975,Own gauge,Logistic regression,0.6694046646383611,0.8979591836734694,0.6615384615384615,0.32592592592592595,49
10,21.999999999999975,Own gauge,Gradient boosting,0.553885261669042,0.673469387755102,0.484375,0.4125,49
10,21.999999999999975,+ upstream gauges,Logistic regression,0.8457610148017926,0.9795918367346939,0.4482758620689655,0.5454545454545454,49
10,21.999999999999975,+ upstream gauges,Gradient boosting,0.8626519911680406,0.6938775510204082,0.15,0.6181818181818182,49
10,21.999999999999975,"+ upstream, rain, season",Logistic regression,0.8404224474193017,0.9795918367346939,0.4418604651162791,0.5517241379310345,49
10,21.999999999999975,"+ upstream, rain, season",Gradient boosting,0.8650083490542438,0.7142857142857143,0.14634146341463414,0.6363636363636364,49
12,16.999999999999993,Persistence,Persistence,,0.425,0.575,0.2698412698412698,40
12,16.999999999999993,Own gauge,Logistic regression,0.39377126476031704,0.85,0.8089887640449438,0.18478260869565216,40
12,16.999999999999993,Own gauge,Gradient boosting,0.2603819698729257,0.45,0.7464788732394366,0.1935483870967742,40
12,16.999999999999993,+ upstream gauges,Logistic regression,0.5549543081887702,0.825,0.7421875,0.24444444444444444,40
12,16.999999999999993,+ upstream gauges,Gradient boosting,0.585705024171501,0.575,0.425,0.40350877192982454,40
12,16.999999999999993,"+ upstream, rain, season",Logistic regression,0.5579772275942362,0.825,0.7441860465116279,0.2426470588235294,40
12,16.999999999999993,"+ upstream, rain, season",Gradient boosting,0.6422719982189409,0.6,0.38461538461538464,0.43636363636363634,40
