gauge,model,POD,FAR,CSI,events
1,Unseen gauge (trained on the other 15),0.9516129032258065,0.3854166666666667,0.5959595959595959,62
1,Own-gauge model,0.8064516129032258,0.23076923076923078,0.6493506493506493,62
1,Persistence,0.7096774193548387,0.2903225806451613,0.55,62
2,Unseen gauge (trained on the other 15),0.9245283018867925,0.33783783783783783,0.6282051282051282,53
2,Own-gauge model,0.8113207547169812,0.2711864406779661,0.6231884057971014,53
2,Persistence,0.7358490566037735,0.2641509433962264,0.582089552238806,53
3,Unseen gauge (trained on the other 15),0.9666666666666667,0.43137254901960786,0.5576923076923077,30
3,Own-gauge model,0.9,0.4,0.5625,30
3,Persistence,0.5333333333333333,0.4666666666666667,0.36363636363636365,30
4,Unseen gauge (trained on the other 15),0.9571428571428572,0.37383177570093457,0.6090909090909091,70
4,Own-gauge model,0.8857142857142857,0.27906976744186046,0.6595744680851063,70
4,Persistence,0.7285714285714285,0.2714285714285714,0.5730337078651685,70
6,Unseen gauge (trained on the other 15),0.927536231884058,0.452991452991453,0.5245901639344263,69
6,Own-gauge model,0.8695652173913043,0.4,0.5504587155963303,69
6,Persistence,0.6811594202898551,0.3188405797101449,0.5164835164835165,69
7,Unseen gauge (trained on the other 15),0.9492753623188406,0.33163265306122447,0.645320197044335,138
7,Own-gauge model,0.9492753623188406,0.3105263157894737,0.6649746192893401,138
7,Persistence,0.7898550724637681,0.21014492753623187,0.6526946107784432,138
8,Unseen gauge (trained on the other 15),0.8195488721804511,0.2875816993464052,0.615819209039548,133
8,Own-gauge model,0.8120300751879699,0.35714285714285715,0.5595854922279793,133
8,Persistence,0.7293233082706767,0.2706766917293233,0.5739644970414202,133
9,Unseen gauge (trained on the other 15),0.9259259259259259,0.5967741935483871,0.390625,27
9,Own-gauge model,0.9259259259259259,0.4186046511627907,0.5555555555555556,27
9,Persistence,0.5185185185185185,0.48148148148148145,0.35,27
10,Unseen gauge (trained on the other 15),0.9806629834254144,0.13202933985330073,0.8533653846153846,362
10,Own-gauge model,0.9281767955801105,0.08695652173913043,0.8527918781725888,362
10,Persistence,0.9116022099447514,0.08839779005524862,0.8375634517766497,362
11,Unseen gauge (trained on the other 15),0.9419354838709677,0.1751412429378531,0.7849462365591398,310
11,Own-gauge model,0.867741935483871,0.15141955835962145,0.7513966480446927,310
11,Persistence,0.8741935483870967,0.12580645161290321,0.7765042979942693,310
12,Unseen gauge (trained on the other 15),0.9482758620689655,0.5299145299145299,0.4583333333333333,58
12,Own-gauge model,0.8620689655172413,0.4117647058823529,0.5376344086021505,58
12,Persistence,0.5862068965517241,0.41379310344827586,0.4146341463414634,58
13,Unseen gauge (trained on the other 15),0.96,0.5826086956521739,0.41025641025641024,50
13,Own-gauge model,0.88,0.40540540540540543,0.55,50
13,Persistence,0.56,0.44,0.3888888888888889,50
15,Unseen gauge (trained on the other 15),0.9631067961165048,0.03125,0.9340866290018832,515
15,Own-gauge model,0.9339805825242719,0.03413654618473896,0.9041353383458647,515
15,Persistence,0.9475728155339805,0.05242718446601942,0.9003690036900369,515
17,Unseen gauge (trained on the other 15),0.9607843137254902,0.5950413223140496,0.3983739837398374,51
17,Own-gauge model,0.803921568627451,0.4675324675324675,0.47126436781609193,51
17,Persistence,0.803921568627451,0.19607843137254902,0.6721311475409836,51
