label,gauge,true,window_accuracy,gauge_vote
Tidal vs non-tidal,1,0,0.9120879120879121,0
Tidal vs non-tidal,2,0,0.9615384615384616,0
Tidal vs non-tidal,3,0,0.9710982658959537,0
Tidal vs non-tidal,4,0,0.9615384615384616,0
Tidal vs non-tidal,5,0,0.9611111111111111,0
Tidal vs non-tidal,6,0,0.9340659340659341,0
Tidal vs non-tidal,7,0,0.8777777777777778,0
Tidal vs non-tidal,8,0,0.9112426035502958,0
Tidal vs non-tidal,9,0,0.8111111111111111,0
Tidal vs non-tidal,10,0,0.7197802197802198,0
Tidal vs non-tidal,11,0,0.7888888888888889,0
Tidal vs non-tidal,12,1,0.7032967032967034,1
Tidal vs non-tidal,13,1,0.7569060773480663,1
Tidal vs non-tidal,14,1,0.8074074074074075,1
Tidal vs non-tidal,15,1,0.8461538461538461,1
Tidal vs non-tidal,16,1,0.7166666666666667,1
Tidal vs non-tidal,17,1,0.856353591160221,1
River (4 classes),1,Ganges,0.8406593406593407,Ganges
River (4 classes),2,Ganges,0.8956043956043956,Ganges
River (4 classes),3,Ganges,0.8786127167630058,Ganges
River (4 classes),4,Ganges,0.8351648351648352,Ganges
River (4 classes),5,Ganges,0.7722222222222223,Ganges
River (4 classes),6,Ganges,0.7032967032967034,Ganges
River (4 classes),7,Ganges,0.4722222222222222,Ganges
River (4 classes),8,Jamuna,0.0,Ganges
River (4 classes),9,Jamuna,0.011111111111111112,Ganges
River (4 classes),10,Padma,0.5,Padma
River (4 classes),11,Padma,0.4222222222222222,Ganges
River (4 classes),12,Padma,0.8461538461538461,Padma
River (4 classes),13,Padma,0.8729281767955801,Padma
River (4 classes),14,Padma,0.7925925925925926,Padma
River (4 classes),15,Padma,0.3626373626373626,Meghna
River (4 classes),16,Meghna,0.2611111111111111,Padma
River (4 classes),17,Meghna,0.11602209944751381,Padma
