gauge,season,cluster
1,Monsoon (Jun-Oct),1
2,Monsoon (Jun-Oct),1
3,Monsoon (Jun-Oct),1
4,Monsoon (Jun-Oct),1
5,Monsoon (Jun-Oct),1
6,Monsoon (Jun-Oct),1
7,Monsoon (Jun-Oct),1
8,Monsoon (Jun-Oct),1
9,Monsoon (Jun-Oct),1
10,Monsoon (Jun-Oct),1
11,Monsoon (Jun-Oct),1
12,Monsoon (Jun-Oct),1
13,Monsoon (Jun-Oct),1
14,Monsoon (Jun-Oct),1
15,Monsoon (Jun-Oct),2
16,Monsoon (Jun-Oct),2
17,Monsoon (Jun-Oct),2
1,Dry (Jan-Apr),1
2,Dry (Jan-Apr),1
3,Dry (Jan-Apr),1
4,Dry (Jan-Apr),1
5,Dry (Jan-Apr),1
6,Dry (Jan-Apr),2
7,Dry (Jan-Apr),2
8,Dry (Jan-Apr),2
9,Dry (Jan-Apr),2
10,Dry (Jan-Apr),2
11,Dry (Jan-Apr),2
12,Dry (Jan-Apr),2
13,Dry (Jan-Apr),2
14,Dry (Jan-Apr),2
15,Dry (Jan-Apr),2
16,Dry (Jan-Apr),2
17,Dry (Jan-Apr),2
