,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2011,43,55,67,71,5,80,97,25,50,97,96,86,73,58,98,14,81
2012,8,10,27,13,7,8,64,83,20,107,103,79,60,78,118,2,74
2013,45,47,37,59,35,31,72,45,31,79,78,72,52,63,85,0,66
2014,0,10,13,10,0,14,26,45,18,72,64,29,21,25,99,2,41
2015,4,5,7,19,9,6,24,56,19,64,52,25,22,25,77,11,27
2016,33,31,40,44,23,44,95,53,17,113,113,52,25,37,100,4,57
2017,11,11,17,18,10,16,86,60,25,102,97,32,29,0,78,7,45
2018,13,10,13,22,6,27,52,58,14,85,84,27,15,0,76,0,17
2019,21,21,21,27,15,52,58,46,32,95,90,41,36,0,87,0,31
2020,0,0,0,51,33,77,108,91,74,120,119,91,88,69,118,19,65
2021,33,15,30,38,26,40,65,31,27,98,89,32,31,34,119,0,34
2022,7,2,2,10,3,26,37,32,3,106,86,9,10,12,152,9,47
2023,0,0,0,0,0,25,26,53,4,81,65,8,8,10,124,0,3
2024,21,11,4,22,0,9,31,33,11,91,81,17,14,19,123,0,0
2025,34,40,24,38,7,9,44,15,9,84,78,24,18,20,117,0,1
