Station_ID,Id,Stratum,Class,N_Train,N_Test,Pct_All
SW91.9R,10,BEFORE,Normal,652,140,74.58
SW91.9R,10,BEFORE,Warning,159,54,20.06
SW91.9R,10,BEFORE,Danger,36,7,4.05
SW91.9R,10,BEFORE,Severe,3,11,1.32
SW91.9R,10,DURING,Normal,1416,388,72.95
SW91.9R,10,DURING,Warning,351,66,16.86
SW91.9R,10,DURING,Danger,109,17,5.1
SW91.9R,10,DURING,Severe,102,24,5.1
SW91.9R,10,AFTER,Normal,759,173,72.53
SW91.9R,10,AFTER,Warning,224,60,22.1
SW91.9R,10,AFTER,Danger,44,21,5.06
SW91.9R,10,AFTER,Severe,1,3,0.31
SW91.9R,10,ALL,Normal,2820,708,73.2
SW91.9R,10,ALL,Warning,715,199,18.96
SW91.9R,10,ALL,Danger,181,53,4.85
SW91.9R,10,ALL,Severe,140,4,2.99
SW91.9L,11,BEFORE,Normal,654,148,75.52
SW91.9L,11,BEFORE,Warning,153,49,19.02
SW91.9L,11,BEFORE,Danger,40,6,4.33
SW91.9L,11,BEFORE,Severe,3,9,1.13
SW91.9L,11,DURING,Normal,1440,397,74.28
SW91.9L,11,DURING,Warning,356,67,17.1
SW91.9L,11,DURING,Danger,109,12,4.89
SW91.9L,11,DURING,Severe,73,19,3.72
SW91.9L,11,AFTER,Normal,805,179,76.58
SW91.9L,11,AFTER,Warning,209,71,21.79
SW91.9L,11,AFTER,Danger,14,7,1.63
SW91.9L,11,AFTER,Severe,0,0,0.0
SW91.9L,11,ALL,Normal,2883,740,75.17
SW91.9L,11,ALL,Warning,702,203,18.78
SW91.9L,11,ALL,Danger,167,21,3.9
SW91.9L,11,ALL,Severe,104,0,2.16
SW93.4L,12,BEFORE,Normal,679,183,81.17
SW93.4L,12,BEFORE,Warning,170,29,18.74
SW93.4L,12,BEFORE,Danger,1,0,0.09
SW93.4L,12,BEFORE,Severe,0,0,0.0
SW93.4L,12,DURING,Normal,1720,458,88.07
SW93.4L,12,DURING,Warning,217,37,10.27
SW93.4L,12,DURING,Danger,40,0,1.62
SW93.4L,12,DURING,Severe,1,0,0.04
SW93.4L,12,AFTER,Normal,999,233,95.88
SW93.4L,12,AFTER,Warning,29,24,4.12
SW93.4L,12,AFTER,Danger,0,0,0.0
SW93.4L,12,AFTER,Severe,0,0,0.0
SW93.4L,12,ALL,Normal,3357,915,88.63
SW93.4L,12,ALL,Warning,457,49,10.5
SW93.4L,12,ALL,Danger,41,0,0.85
SW93.4L,12,ALL,Severe,1,0,0.02
SW93.5L,13,BEFORE,Normal,714,189,86.16
SW93.5L,13,BEFORE,Warning,124,21,13.84
SW93.5L,13,BEFORE,Danger,0,0,0.0
SW93.5L,13,BEFORE,Severe,0,0,0.0
SW93.5L,13,DURING,Normal,1772,459,90.21
SW93.5L,13,DURING,Warning,183,36,8.86
SW93.5L,13,DURING,Danger,23,0,0.93
SW93.5L,13,DURING,Severe,0,0,0.0
SW93.5L,13,AFTER,Normal,1001,239,96.5
SW93.5L,13,AFTER,Warning,27,18,3.5
SW93.5L,13,AFTER,Danger,0,0,0.0
SW93.5L,13,AFTER,Severe,0,0,0.0
SW93.5L,13,ALL,Normal,3453,921,91.01
SW93.5L,13,ALL,Warning,369,40,8.51
SW93.5L,13,ALL,Danger,23,0,0.48
SW93.5L,13,ALL,Severe,0,0,0.0
SW95,15,BEFORE,Normal,626,111,70.32
SW95,15,BEFORE,Warning,185,85,25.76
SW95,15,BEFORE,Danger,27,14,3.91
SW95,15,BEFORE,Severe,0,0,0.0
SW95,15,DURING,Normal,1457,352,73.15
SW95,15,DURING,Warning,464,115,23.41
SW95,15,DURING,Danger,56,27,3.36
SW95,15,DURING,Severe,1,1,0.08
SW95,15,AFTER,Normal,654,138,62.02
SW95,15,AFTER,Warning,346,117,36.26
SW95,15,AFTER,Danger,22,0,1.72
SW95,15,AFTER,Severe,0,0,0.0
SW95,15,ALL,Normal,2735,603,69.57
SW95,15,ALL,Warning,968,344,27.34
SW95,15,ALL,Danger,133,13,3.04
SW95,15,ALL,Severe,2,0,0.04
