Station_ID,Stratum,Feature_Set,True,Predicted,Count
SW91.9R,BEFORE,stage_only,Normal,Normal,140
SW91.9R,BEFORE,stage_only,Normal,Warning,0
SW91.9R,BEFORE,stage_only,Normal,Danger,0
SW91.9R,BEFORE,stage_only,Normal,Severe,0
SW91.9R,BEFORE,stage_only,Warning,Normal,12
SW91.9R,BEFORE,stage_only,Warning,Warning,42
SW91.9R,BEFORE,stage_only,Warning,Danger,0
SW91.9R,BEFORE,stage_only,Warning,Severe,0
SW91.9R,BEFORE,stage_only,Danger,Normal,0
SW91.9R,BEFORE,stage_only,Danger,Warning,3
SW91.9R,BEFORE,stage_only,Danger,Danger,4
SW91.9R,BEFORE,stage_only,Danger,Severe,0
SW91.9R,BEFORE,stage_only,Severe,Normal,0
SW91.9R,BEFORE,stage_only,Severe,Warning,0
SW91.9R,BEFORE,stage_only,Severe,Danger,11
SW91.9R,BEFORE,stage_only,Severe,Severe,0
SW91.9R,BEFORE,hydromet,Normal,Normal,140
SW91.9R,BEFORE,hydromet,Normal,Warning,0
SW91.9R,BEFORE,hydromet,Normal,Danger,0
SW91.9R,BEFORE,hydromet,Normal,Severe,0
SW91.9R,BEFORE,hydromet,Warning,Normal,8
SW91.9R,BEFORE,hydromet,Warning,Warning,45
SW91.9R,BEFORE,hydromet,Warning,Danger,1
SW91.9R,BEFORE,hydromet,Warning,Severe,0
SW91.9R,BEFORE,hydromet,Danger,Normal,0
SW91.9R,BEFORE,hydromet,Danger,Warning,1
SW91.9R,BEFORE,hydromet,Danger,Danger,6
SW91.9R,BEFORE,hydromet,Danger,Severe,0
SW91.9R,BEFORE,hydromet,Severe,Normal,0
SW91.9R,BEFORE,hydromet,Severe,Warning,0
SW91.9R,BEFORE,hydromet,Severe,Danger,11
SW91.9R,BEFORE,hydromet,Severe,Severe,0
SW91.9R,BEFORE,full_multivariate,Normal,Normal,140
SW91.9R,BEFORE,full_multivariate,Normal,Warning,0
SW91.9R,BEFORE,full_multivariate,Normal,Danger,0
SW91.9R,BEFORE,full_multivariate,Normal,Severe,0
SW91.9R,BEFORE,full_multivariate,Warning,Normal,7
SW91.9R,BEFORE,full_multivariate,Warning,Warning,46
SW91.9R,BEFORE,full_multivariate,Warning,Danger,1
SW91.9R,BEFORE,full_multivariate,Warning,Severe,0
SW91.9R,BEFORE,full_multivariate,Danger,Normal,0
SW91.9R,BEFORE,full_multivariate,Danger,Warning,1
SW91.9R,BEFORE,full_multivariate,Danger,Danger,6
SW91.9R,BEFORE,full_multivariate,Danger,Severe,0
SW91.9R,BEFORE,full_multivariate,Severe,Normal,0
SW91.9R,BEFORE,full_multivariate,Severe,Warning,0
SW91.9R,BEFORE,full_multivariate,Severe,Danger,11
SW91.9R,BEFORE,full_multivariate,Severe,Severe,0
SW91.9R,BEFORE,forecast_safe,Normal,Normal,137
SW91.9R,BEFORE,forecast_safe,Normal,Warning,3
SW91.9R,BEFORE,forecast_safe,Normal,Danger,0
SW91.9R,BEFORE,forecast_safe,Normal,Severe,0
SW91.9R,BEFORE,forecast_safe,Warning,Normal,1
SW91.9R,BEFORE,forecast_safe,Warning,Warning,53
SW91.9R,BEFORE,forecast_safe,Warning,Danger,0
SW91.9R,BEFORE,forecast_safe,Warning,Severe,0
SW91.9R,BEFORE,forecast_safe,Danger,Normal,0
SW91.9R,BEFORE,forecast_safe,Danger,Warning,4
SW91.9R,BEFORE,forecast_safe,Danger,Danger,3
SW91.9R,BEFORE,forecast_safe,Danger,Severe,0
SW91.9R,BEFORE,forecast_safe,Severe,Normal,0
SW91.9R,BEFORE,forecast_safe,Severe,Warning,6
SW91.9R,BEFORE,forecast_safe,Severe,Danger,5
SW91.9R,BEFORE,forecast_safe,Severe,Severe,0
SW91.9R,DURING,stage_only,Normal,Normal,388
SW91.9R,DURING,stage_only,Normal,Warning,0
SW91.9R,DURING,stage_only,Normal,Danger,0
SW91.9R,DURING,stage_only,Normal,Severe,0
SW91.9R,DURING,stage_only,Warning,Normal,1
SW91.9R,DURING,stage_only,Warning,Warning,65
SW91.9R,DURING,stage_only,Warning,Danger,0
SW91.9R,DURING,stage_only,Warning,Severe,0
SW91.9R,DURING,stage_only,Danger,Normal,0
SW91.9R,DURING,stage_only,Danger,Warning,5
SW91.9R,DURING,stage_only,Danger,Danger,12
SW91.9R,DURING,stage_only,Danger,Severe,0
SW91.9R,DURING,stage_only,Severe,Normal,0
SW91.9R,DURING,stage_only,Severe,Warning,0
SW91.9R,DURING,stage_only,Severe,Danger,1
SW91.9R,DURING,stage_only,Severe,Severe,23
SW91.9R,DURING,hydromet,Normal,Normal,388
SW91.9R,DURING,hydromet,Normal,Warning,0
SW91.9R,DURING,hydromet,Normal,Danger,0
SW91.9R,DURING,hydromet,Normal,Severe,0
SW91.9R,DURING,hydromet,Warning,Normal,2
SW91.9R,DURING,hydromet,Warning,Warning,64
SW91.9R,DURING,hydromet,Warning,Danger,0
SW91.9R,DURING,hydromet,Warning,Severe,0
SW91.9R,DURING,hydromet,Danger,Normal,0
SW91.9R,DURING,hydromet,Danger,Warning,5
SW91.9R,DURING,hydromet,Danger,Danger,12
SW91.9R,DURING,hydromet,Danger,Severe,0
SW91.9R,DURING,hydromet,Severe,Normal,0
SW91.9R,DURING,hydromet,Severe,Warning,0
SW91.9R,DURING,hydromet,Severe,Danger,1
SW91.9R,DURING,hydromet,Severe,Severe,23
SW91.9R,DURING,full_multivariate,Normal,Normal,388
SW91.9R,DURING,full_multivariate,Normal,Warning,0
SW91.9R,DURING,full_multivariate,Normal,Danger,0
SW91.9R,DURING,full_multivariate,Normal,Severe,0
SW91.9R,DURING,full_multivariate,Warning,Normal,1
SW91.9R,DURING,full_multivariate,Warning,Warning,65
SW91.9R,DURING,full_multivariate,Warning,Danger,0
SW91.9R,DURING,full_multivariate,Warning,Severe,0
SW91.9R,DURING,full_multivariate,Danger,Normal,0
SW91.9R,DURING,full_multivariate,Danger,Warning,4
SW91.9R,DURING,full_multivariate,Danger,Danger,13
SW91.9R,DURING,full_multivariate,Danger,Severe,0
SW91.9R,DURING,full_multivariate,Severe,Normal,0
SW91.9R,DURING,full_multivariate,Severe,Warning,0
SW91.9R,DURING,full_multivariate,Severe,Danger,1
SW91.9R,DURING,full_multivariate,Severe,Severe,23
SW91.9R,DURING,forecast_safe,Normal,Normal,386
SW91.9R,DURING,forecast_safe,Normal,Warning,2
SW91.9R,DURING,forecast_safe,Normal,Danger,0
SW91.9R,DURING,forecast_safe,Normal,Severe,0
SW91.9R,DURING,forecast_safe,Warning,Normal,0
SW91.9R,DURING,forecast_safe,Warning,Warning,65
SW91.9R,DURING,forecast_safe,Warning,Danger,1
SW91.9R,DURING,forecast_safe,Warning,Severe,0
SW91.9R,DURING,forecast_safe,Danger,Normal,0
SW91.9R,DURING,forecast_safe,Danger,Warning,1
SW91.9R,DURING,forecast_safe,Danger,Danger,16
SW91.9R,DURING,forecast_safe,Danger,Severe,0
SW91.9R,DURING,forecast_safe,Severe,Normal,0
SW91.9R,DURING,forecast_safe,Severe,Warning,0
SW91.9R,DURING,forecast_safe,Severe,Danger,1
SW91.9R,DURING,forecast_safe,Severe,Severe,23
SW91.9R,AFTER,stage_only,Normal,Normal,172
SW91.9R,AFTER,stage_only,Normal,Warning,1
SW91.9R,AFTER,stage_only,Normal,Danger,0
SW91.9R,AFTER,stage_only,Normal,Severe,0
SW91.9R,AFTER,stage_only,Warning,Normal,5
SW91.9R,AFTER,stage_only,Warning,Warning,50
SW91.9R,AFTER,stage_only,Warning,Danger,5
SW91.9R,AFTER,stage_only,Warning,Severe,0
SW91.9R,AFTER,stage_only,Danger,Normal,0
SW91.9R,AFTER,stage_only,Danger,Warning,3
SW91.9R,AFTER,stage_only,Danger,Danger,18
SW91.9R,AFTER,stage_only,Danger,Severe,0
SW91.9R,AFTER,stage_only,Severe,Normal,0
SW91.9R,AFTER,stage_only,Severe,Warning,0
SW91.9R,AFTER,stage_only,Severe,Danger,3
SW91.9R,AFTER,stage_only,Severe,Severe,0
SW91.9R,AFTER,hydromet,Normal,Normal,173
SW91.9R,AFTER,hydromet,Normal,Warning,0
SW91.9R,AFTER,hydromet,Normal,Danger,0
SW91.9R,AFTER,hydromet,Normal,Severe,0
SW91.9R,AFTER,hydromet,Warning,Normal,47
SW91.9R,AFTER,hydromet,Warning,Warning,11
SW91.9R,AFTER,hydromet,Warning,Danger,2
SW91.9R,AFTER,hydromet,Warning,Severe,0
SW91.9R,AFTER,hydromet,Danger,Normal,0
SW91.9R,AFTER,hydromet,Danger,Warning,10
SW91.9R,AFTER,hydromet,Danger,Danger,10
SW91.9R,AFTER,hydromet,Danger,Severe,1
SW91.9R,AFTER,hydromet,Severe,Normal,0
SW91.9R,AFTER,hydromet,Severe,Warning,0
SW91.9R,AFTER,hydromet,Severe,Danger,0
SW91.9R,AFTER,hydromet,Severe,Severe,3
SW91.9R,AFTER,full_multivariate,Normal,Normal,172
SW91.9R,AFTER,full_multivariate,Normal,Warning,1
SW91.9R,AFTER,full_multivariate,Normal,Danger,0
SW91.9R,AFTER,full_multivariate,Normal,Severe,0
SW91.9R,AFTER,full_multivariate,Warning,Normal,5
SW91.9R,AFTER,full_multivariate,Warning,Warning,50
SW91.9R,AFTER,full_multivariate,Warning,Danger,5
SW91.9R,AFTER,full_multivariate,Warning,Severe,0
SW91.9R,AFTER,full_multivariate,Danger,Normal,0
SW91.9R,AFTER,full_multivariate,Danger,Warning,3
SW91.9R,AFTER,full_multivariate,Danger,Danger,18
SW91.9R,AFTER,full_multivariate,Danger,Severe,0
SW91.9R,AFTER,full_multivariate,Severe,Normal,0
SW91.9R,AFTER,full_multivariate,Severe,Warning,0
SW91.9R,AFTER,full_multivariate,Severe,Danger,3
SW91.9R,AFTER,full_multivariate,Severe,Severe,0
SW91.9R,AFTER,forecast_safe,Normal,Normal,173
SW91.9R,AFTER,forecast_safe,Normal,Warning,0
SW91.9R,AFTER,forecast_safe,Normal,Danger,0
SW91.9R,AFTER,forecast_safe,Normal,Severe,0
SW91.9R,AFTER,forecast_safe,Warning,Normal,9
SW91.9R,AFTER,forecast_safe,Warning,Warning,51
SW91.9R,AFTER,forecast_safe,Warning,Danger,0
