Id,Station_ID,Period,N_Days,N_Observed,Coverage_pct
1,SW88A,BEFORE,1425,1424,99.93
1,SW88A,DURING,2769,2769,100.0
1,SW88A,AFTER,1285,1285,100.0
2,SW88,BEFORE,1425,1425,100.0
2,SW88,DURING,2769,2768,99.96
2,SW88,AFTER,1285,1285,100.0
3,SW89,BEFORE,1425,1425,100.0
3,SW89,DURING,2769,2526,91.22
3,SW89,AFTER,1285,1285,100.0
4,SW90,BEFORE,1425,1425,100.0
4,SW90,DURING,2769,2769,100.0
4,SW90,AFTER,1285,1285,100.0
5,SW91,BEFORE,1425,1393,97.75
5,SW91,DURING,2769,2769,100.0
5,SW91,AFTER,1285,1285,100.0
6,SW91.1,BEFORE,1425,1424,99.93
6,SW91.1,DURING,2769,2769,100.0
6,SW91.1,AFTER,1285,1285,100.0
7,SW91.2,BEFORE,1425,1394,97.82
7,SW91.2,DURING,2769,2769,100.0
7,SW91.2,AFTER,1285,1285,100.0
8,SW46.9L,BEFORE,1425,1182,82.95
8,SW46.9L,DURING,2769,2738,98.88
8,SW46.9L,AFTER,1285,1285,100.0
9,SW50.6,BEFORE,1425,1395,97.89
9,SW50.6,DURING,2769,2768,99.96
9,SW50.6,AFTER,1285,1285,100.0
10,SW91.9R,BEFORE,1425,1425,100.0
10,SW91.9R,DURING,2769,2769,100.0
10,SW91.9R,AFTER,1285,1285,100.0
11,SW91.9L,BEFORE,1425,1394,97.82
11,SW91.9L,DURING,2769,2769,100.0
11,SW91.9L,AFTER,1285,1285,100.0
12,SW93.4L,BEFORE,1425,1425,100.0
12,SW93.4L,DURING,2769,2769,100.0
12,SW93.4L,AFTER,1285,1285,100.0
13,SW93.5L,BEFORE,1425,1418,99.51
13,SW93.5L,DURING,2769,2769,100.0
13,SW93.5L,AFTER,1285,1285,100.0
14,SW94,BEFORE,1425,1399,98.18
14,SW94,DURING,2769,1400,50.56
14,SW94,AFTER,1285,1285,100.0
15,SW95,BEFORE,1425,1425,100.0
15,SW95,DURING,2769,2769,100.0
15,SW95,AFTER,1285,1284,99.92
16,SW273,BEFORE,1425,1394,97.82
16,SW273,DURING,2769,2769,100.0
16,SW273,AFTER,1285,1285,100.0
17,SW277,BEFORE,1425,1424,99.93
17,SW277,DURING,2769,2769,100.0
17,SW277,AFTER,1285,1255,97.67
