,SW88A,SW88,SW89,SW90,SW91,SW91.1,SW91.2,SW46.9L,SW50.6,SW91.9R,SW91.9L,SW93.4L,SW93.5L,SW94,SW95,SW273,SW277
SW88A,1.0,0.9819662651185844,0.9828396287193978,0.9780597541681957,0.9723607044880205,0.943042494713271,0.9184921211971976,0.771722074440106,0.8703068880114023,0.871511193401429,0.8690344808683933,0.8665511400521083,0.86429238044634,0.8541267299131476,0.8140175191622604,0.8123163965068066,0.8145261512897596
SW88,0.9819662651185844,1.0,0.9943034166621932,0.9873044436171444,0.981704014265782,0.9628288377733787,0.9147395531663126,0.7652285208080131,0.8691884361022326,0.8702386838926419,0.8679354145181392,0.8649755396315735,0.8626706895593722,0.8615041467105492,0.8293691581413831,0.8130252101405867,0.8157307432106028
SW89,0.9828396287193978,0.9943034166621932,1.0,0.9892043165557814,0.9831945290579059,0.9637424291054038,0.9235632520748044,0.7769963513903719,0.8775659358415953,0.8787295211029814,0.8773881839747644,0.8745714568484524,0.8723061504457532,0.8654952771821722,0.8312160093555527,0.8233836327442626,0.8293077883210324
SW90,0.9780597541681957,0.9873044436171444,0.9892043165557814,1.0,0.994957131717538,0.975418688926784,0.9483751588582106,0.8078991574759903,0.9046400845196231,0.9078395110576039,0.9053345978965585,0.8976959539845324,0.8965024947323312,0.8913669816431871,0.859860619209375,0.8485705094729676,0.8509368642982781
SW91,0.9723607044880205,0.981704014265782,0.9831945290579059,0.994957131717538,1.0,0.9751464260692629,0.950715719881249,0.8150783634655572,0.909962050978686,0.9141020210594786,0.9114150975827316,0.9016650534668376,0.9016243593254034,0.8985194638986823,0.8646871960051125,0.8547737681504418,0.8549297402140276
SW91.1,0.943042494713271,0.9628288377733787,0.9637424291054038,0.975418688926784,0.9751464260692629,1.0,0.9626287835689296,0.8594183906741503,0.9372616895558522,0.9392890176991981,0.9369107302401545,0.9275354809692771,0.9281931532520578,0.9173795770891805,0.9011765124182297,0.8849326347642037,0.8854235021112341
SW91.2,0.9184921211971976,0.9147395531663126,0.9235632520748044,0.9483751588582106,0.950715719881249,0.9626287835689296,1.0,0.9386966302376555,0.9861734952507617,0.9872523467913383,0.9862800301649429,0.9788800124342355,0.9795097112365455,0.9747526918337379,0.9420184567539014,0.950422992950701,0.942734853330182
SW46.9L,0.771722074440106,0.7652285208080131,0.7769963513903719,0.8078991574759903,0.8150783634655572,0.8594183906741503,0.9386966302376555,1.0,0.9699293229517906,0.9694272728742911,0.9702199918913745,0.9666729448560935,0.9681037170288255,0.9650576010690691,0.9344495907050466,0.9599364779793952,0.9404668203741969
SW50.6,0.8703068880114023,0.8691884361022326,0.8775659358415953,0.9046400845196231,0.909962050978686,0.9372616895558522,0.9861734952507617,0.9699293229517906,1.0,0.9969493819298458,0.9978099719156996,0.9913100542685985,0.9924850465150725,0.9903854229005634,0.9593235171665395,0.9696509641852392,0.9591805121702142
SW91.9R,0.871511193401429,0.8702386838926419,0.8787295211029814,0.9078395110576039,0.9141020210594786,0.9392890176991981,0.9872523467913383,0.9694272728742911,0.9969493819298458,1.0,0.9987552522650913,0.9911547702708968,0.9928342190538174,0.9908382582708443,0.9592393877059687,0.9691140219782002,0.9599203171930687
SW91.9L,0.8690344808683933,0.8679354145181392,0.8773881839747644,0.9053345978965585,0.9114150975827316,0.9369107302401545,0.9862800301649429,0.9702199918913745,0.9978099719156996,0.9987552522650913,1.0,0.9919641554804255,0.9933409978713204,0.9922720197955186,0.9594991726275974,0.9706804908838625,0.9616710130547963
SW93.4L,0.8665511400521083,0.8649755396315735,0.8745714568484524,0.8976959539845324,0.9016650534668376,0.9275354809692771,0.9788800124342355,0.9666729448560935,0.9913100542685985,0.9911547702708968,0.9919641554804255,1.0,0.9993209316249725,0.997791249956578,0.9671764678236351,0.982327886627802,0.9770192385695766
SW93.5L,0.86429238044634,0.8626706895593722,0.8723061504457532,0.8965024947323312,0.9016243593254034,0.9281931532520578,0.9795097112365455,0.9681037170288255,0.9924850465150725,0.9928342190538174,0.9933409978713204,0.9993209316249725,1.0,0.9984915040778118,0.968975127661034,0.9824690581505522,0.9765211439777158
SW94,0.8541267299131476,0.8615041467105492,0.8654952771821722,0.8913669816431871,0.8985194638986823,0.9173795770891805,0.9747526918337379,0.9650576010690691,0.9903854229005634,0.9908382582708443,0.9922720197955186,0.997791249956578,0.9984915040778118,1.0,0.9665182316724059,0.9834015529323994,0.9739179235106373
SW95,0.8140175191622604,0.8293691581413831,0.8312160093555527,0.859860619209375,0.8646871960051125,0.9011765124182297,0.9420184567539014,0.9344495907050466,0.9593235171665395,0.9592393877059687,0.9594991726275974,0.9671764678236351,0.968975127661034,0.9665182316724059,1.0,0.9558155531076632,0.9532928242603274
SW273,0.8123163965068066,0.8130252101405867,0.8233836327442626,0.8485705094729676,0.8547737681504418,0.8849326347642037,0.950422992950701,0.9599364779793952,0.9696509641852392,0.9691140219782002,0.9706804908838625,0.982327886627802,0.9824690581505522,0.9834015529323994,0.9558155531076632,1.0,0.9735311616441314
SW277,0.8145261512897596,0.8157307432106028,0.8293077883210324,0.8509368642982781,0.8549297402140276,0.8854235021112341,0.942734853330182,0.9404668203741969,0.9591805121702142,0.9599203171930687,0.9616710130547963,0.9770192385695766,0.9765211439777158,0.9739179235106373,0.9532928242603274,0.9735311616441314,1.0
