Id,Station_ID,Start,End,Length_Days,Whole_Calendar_Month,Period
1,SW88A,2011-01-31,2011-01-31,1,False,BEFORE
2,SW88,2021-10-31,2021-10-31,1,False,DURING
3,SW89,2019-11-01,2020-06-30,243,True,DURING
5,SW91,2013-03-01,2013-03-31,31,True,BEFORE
5,SW91,2014-01-31,2014-01-31,1,False,BEFORE
6,SW91.1,2012-05-31,2012-05-31,1,False,BEFORE
7,SW91.2,2014-03-01,2014-03-31,31,True,BEFORE
8,SW46.9L,2011-08-01,2011-08-31,31,True,BEFORE
8,SW46.9L,2012-10-01,2012-10-31,31,True,BEFORE
8,SW46.9L,2013-05-01,2013-06-30,61,True,BEFORE
8,SW46.9L,2014-02-01,2014-05-31,120,True,BEFORE
8,SW46.9L,2014-12-01,2014-12-31,31,True,DURING
9,SW50.6,2012-09-01,2012-09-30,30,True,BEFORE
9,SW50.6,2019-12-31,2019-12-31,1,False,DURING
11,SW91.9L,2014-03-01,2014-03-31,31,True,BEFORE
13,SW93.5L,2013-09-24,2013-09-30,7,False,BEFORE
14,SW94,2011-06-05,2011-06-30,26,False,BEFORE
14,SW94,2016-11-01,2020-07-31,1369,True,DURING
15,SW95,2024-07-31,2024-07-31,1,False,AFTER
16,SW273,2014-08-01,2014-08-31,31,True,BEFORE
17,SW277,2012-05-14,2012-05-14,1,False,BEFORE
17,SW277,2022-09-01,2022-09-30,30,True,AFTER
