Station_ID,Stratum,Feature_Set,Group_Value,Permutation_Importance,Grouping
SW91.9L,AFTER,forecast_safe,1,0.0,by_point
SW91.9L,AFTER,forecast_safe,2,0.0,by_point
SW91.9L,AFTER,forecast_safe,3,0.0,by_point
SW91.9L,AFTER,forecast_safe,4,0.0,by_point
SW91.9L,AFTER,forecast_safe,5,0.0,by_point
SW91.9L,AFTER,forecast_safe,6,0.0,by_point
SW91.9L,AFTER,forecast_safe,7,0.0,by_point
SW91.9L,AFTER,forecast_safe,8,0.0,by_point
SW91.9L,AFTER,forecast_safe,9,0.0,by_point
SW91.9L,AFTER,forecast_safe,10,0.0,by_point
SW91.9L,AFTER,forecast_safe,11,0.0,by_point
SW91.9L,AFTER,full_multivariate,1,0.0,by_point
SW91.9L,AFTER,full_multivariate,2,0.0,by_point
SW91.9L,AFTER,full_multivariate,3,0.0,by_point
SW91.9L,AFTER,full_multivariate,4,0.0,by_point
SW91.9L,AFTER,full_multivariate,5,0.0,by_point
SW91.9L,AFTER,full_multivariate,6,0.0,by_point
SW91.9L,AFTER,full_multivariate,7,0.0,by_point
SW91.9L,AFTER,full_multivariate,8,0.0,by_point
SW91.9L,AFTER,full_multivariate,9,0.0,by_point
SW91.9L,AFTER,full_multivariate,10,0.0,by_point
SW91.9L,AFTER,full_multivariate,11,0.0,by_point
SW91.9L,AFTER,hydromet,1,0.0,by_point
SW91.9L,AFTER,hydromet,2,0.0,by_point
SW91.9L,AFTER,hydromet,3,0.0,by_point
SW91.9L,AFTER,hydromet,4,0.0,by_point
SW91.9L,AFTER,hydromet,5,0.0,by_point
SW91.9L,AFTER,hydromet,6,0.0,by_point
SW91.9L,AFTER,hydromet,7,0.0,by_point
SW91.9L,AFTER,hydromet,8,0.0,by_point
SW91.9L,AFTER,hydromet,9,0.0,by_point
SW91.9L,AFTER,hydromet,10,0.0,by_point
SW91.9L,AFTER,hydromet,11,0.0,by_point
SW91.9L,AFTER,stage_only,1,0.0,by_point
SW91.9L,AFTER,stage_only,2,0.0,by_point
SW91.9L,AFTER,stage_only,3,0.0,by_point
SW91.9L,AFTER,stage_only,4,0.0,by_point
SW91.9L,AFTER,stage_only,5,0.0,by_point
SW91.9L,AFTER,stage_only,6,0.0,by_point
SW91.9L,AFTER,stage_only,7,0.0,by_point
SW91.9L,AFTER,stage_only,8,0.0,by_point
SW91.9L,AFTER,stage_only,9,0.0,by_point
SW91.9L,AFTER,stage_only,10,0.0,by_point
