Station_ID,Stratum,Feature_Set,Feature,Source_Point_Id,Lag_Days,Permutation_Importance,Permutation_SD,Impurity_Importance
SW91.9R,BEFORE,stage_only,WLD-1,10,1,,,0.22592712501968543
SW91.9R,BEFORE,stage_only,WLD-2,10,2,,,0.11174157797218986
SW91.9R,BEFORE,stage_only,WLD-3,10,3,,,0.03962313043333919
SW91.9R,BEFORE,stage_only,WLD-4,10,4,,,0.012277133834109622
SW91.9R,BEFORE,stage_only,WLD-5,10,5,,,0.00479697302193413
SW91.9R,BEFORE,stage_only,WLD-6,10,6,,,0.001852084892361172
SW91.9R,BEFORE,stage_only,WLD-7,10,7,,,0.00046113166405994385
SW91.9R,BEFORE,stage_only,P01_WL,1,0,,,3.476634533338403e-05
SW91.9R,BEFORE,stage_only,P02_WL,2,0,,,2.2575955983647444e-05
SW91.9R,BEFORE,stage_only,P03_WL,3,0,,,3.052300375004438e-05
SW91.9R,BEFORE,stage_only,P04_WL,4,0,,,3.4249158857633614e-05
SW91.9R,BEFORE,stage_only,P05_WL,5,0,,,2.3670650834476097e-05
SW91.9R,BEFORE,stage_only,P06_WL,6,0,,,2.44212014271125e-05
SW91.9R,BEFORE,stage_only,P07_WL,7,0,,,0.05898264056038999
SW91.9R,BEFORE,stage_only,P08_WL,8,0,,,0.000291961050491131
SW91.9R,BEFORE,stage_only,P09_WL,9,0,,,0.2891351190413554
SW91.9R,BEFORE,stage_only,P01_WLD-1,1,1,,,2.713056800275175e-05
SW91.9R,BEFORE,stage_only,P01_WLD-2,1,2,,,1.9913509685127346e-05
SW91.9R,BEFORE,stage_only,P01_WLD-3,1,3,,,2.0448982174480203e-05
SW91.9R,BEFORE,stage_only,P01_WLD-4,1,4,,,1.5770773109521212e-05
SW91.9R,BEFORE,stage_only,P01_WLD-5,1,5,,,4.7346106232245796e-05
SW91.9R,BEFORE,stage_only,P01_WLD-6,1,6,,,3.29180073350126e-05
SW91.9R,BEFORE,stage_only,P01_WLD-7,1,7,,,3.1559374334429496e-05
SW91.9R,BEFORE,stage_only,P02_WLD-1,2,1,,,2.5725231944768027e-05
SW91.9R,BEFORE,stage_only,P02_WLD-2,2,2,,,1.5506234075304828e-05
SW91.9R,BEFORE,stage_only,P02_WLD-3,2,3,,,1.7449412997925916e-05
SW91.9R,BEFORE,stage_only,P02_WLD-4,2,4,,,3.309422433757973e-05
SW91.9R,BEFORE,stage_only,P02_WLD-5,2,5,,,3.352268352375254e-05
SW91.9R,BEFORE,stage_only,P02_WLD-6,2,6,,,2.310523266335185e-05
SW91.9R,BEFORE,stage_only,P02_WLD-7,2,7,,,3.527780189783249e-05
SW91.9R,BEFORE,stage_only,P03_WLD-1,3,1,,,1.9707477342971732e-05
SW91.9R,BEFORE,stage_only,P03_WLD-2,3,2,,,1.7068166659802278e-05
SW91.9R,BEFORE,stage_only,P03_WLD-3,3,3,,,1.897823978228369e-05
SW91.9R,BEFORE,stage_only,P03_WLD-4,3,4,,,1.829166491420377e-05
SW91.9R,BEFORE,stage_only,P03_WLD-5,3,5,,,4.6805944458623935e-05
SW91.9R,BEFORE,stage_only,P03_WLD-6,3,6,,,2.815726764660388e-05
SW91.9R,BEFORE,stage_only,P03_WLD-7,3,7,,,1.652994244346633e-05
SW91.9R,BEFORE,stage_only,P04_WLD-1,4,1,,,1.4161140964955214e-05
SW91.9R,BEFORE,stage_only,P04_WLD-2,4,2,,,1.5635556259140663e-05
SW91.9R,BEFORE,stage_only,P04_WLD-3,4,3,,,3.704159977575819e-05
SW91.9R,BEFORE,stage_only,P04_WLD-4,4,4,,,2.602976297185773e-05
SW91.9R,BEFORE,stage_only,P04_WLD-5,4,5,,,1.598582111307943e-05
SW91.9R,BEFORE,stage_only,P04_WLD-6,4,6,,,1.3780677661447643e-05
SW91.9R,BEFORE,stage_only,P04_WLD-7,4,7,,,2.4850136685759856e-05
SW91.9R,BEFORE,stage_only,P05_WLD-1,5,1,,,2.01992017007416e-05
SW91.9R,BEFORE,stage_only,P05_WLD-2,5,2,,,1.2169005577426989e-05
SW91.9R,BEFORE,stage_only,P05_WLD-3,5,3,,,2.193151858098749e-05
SW91.9R,BEFORE,stage_only,P05_WLD-4,5,4,,,1.6091290208676757e-05
SW91.9R,BEFORE,stage_only,P05_WLD-5,5,5,,,2.220531798005519e-05
SW91.9R,BEFORE,stage_only,P05_WLD-6,5,6,,,1.2721325505788368e-05
SW91.9R,BEFORE,stage_only,P05_WLD-7,5,7,,,1.826874518935209e-05
SW91.9R,BEFORE,stage_only,P06_WLD-1,6,1,,,1.3582435864597452e-05
SW91.9R,BEFORE,stage_only,P06_WLD-2,6,2,,,1.4567964044869402e-05
SW91.9R,BEFORE,stage_only,P06_WLD-3,6,3,,,1.0183774583351568e-05
SW91.9R,BEFORE,stage_only,P06_WLD-4,6,4,,,1.340490426454439e-05
SW91.9R,BEFORE,stage_only,P06_WLD-5,6,5,,,2.10749285115906e-05
SW91.9R,BEFORE,stage_only,P06_WLD-6,6,6,,,1.8650197531675203e-05
