Id,Station_ID,Period,N_Calendar_Days,N_WL_Present,N_Window_Complete,Pct_Window_Complete
1,SW88A,AFTER,1285,1285,1285,100.0
1,SW88A,BEFORE,1425,1424,1410,98.95
1,SW88A,DURING,2769,2769,2769,100.0
2,SW88,AFTER,1285,1285,1285,100.0
2,SW88,BEFORE,1425,1425,1418,99.51
2,SW88,DURING,2769,2768,2761,99.71
3,SW89,AFTER,1285,1285,1285,100.0
3,SW89,BEFORE,1425,1425,1418,99.51
3,SW89,DURING,2769,2526,2519,90.97
4,SW90,AFTER,1285,1285,1285,100.0
4,SW90,BEFORE,1425,1425,1418,99.51
4,SW90,DURING,2769,2769,2769,100.0
5,SW91,AFTER,1285,1285,1285,100.0
5,SW91,BEFORE,1425,1393,1372,96.28
5,SW91,DURING,2769,2769,2769,100.0
6,SW91.1,AFTER,1285,1285,1285,100.0
6,SW91.1,BEFORE,1425,1424,1410,98.95
6,SW91.1,DURING,2769,2769,2769,100.0
7,SW91.2,AFTER,1285,1285,1285,100.0
7,SW91.2,BEFORE,1425,1394,1380,96.84
7,SW91.2,DURING,2769,2769,2769,100.0
8,SW46.9L,AFTER,1285,1285,1285,100.0
8,SW46.9L,BEFORE,1425,1182,1147,80.49
8,SW46.9L,DURING,2769,2738,2731,98.63
9,SW50.6,AFTER,1285,1285,1285,100.0
9,SW50.6,BEFORE,1425,1395,1381,96.91
9,SW50.6,DURING,2769,2768,2761,99.71
10,SW91.9R,AFTER,1285,1285,1285,100.0
10,SW91.9R,BEFORE,1425,1425,1418,99.51
10,SW91.9R,DURING,2769,2769,2769,100.0
11,SW91.9L,AFTER,1285,1285,1285,100.0
11,SW91.9L,BEFORE,1425,1394,1380,96.84
11,SW91.9L,DURING,2769,2769,2769,100.0
12,SW93.4L,AFTER,1285,1285,1285,100.0
12,SW93.4L,BEFORE,1425,1425,1418,99.51
12,SW93.4L,DURING,2769,2769,2769,100.0
13,SW93.5L,AFTER,1285,1285,1285,100.0
13,SW93.5L,BEFORE,1425,1418,1404,98.53
13,SW93.5L,DURING,2769,2769,2769,100.0
14,SW94,AFTER,1285,1285,1285,100.0
14,SW94,BEFORE,1425,1399,1385,97.19
14,SW94,DURING,2769,1400,1393,50.31
15,SW95,AFTER,1285,1284,1277,99.38
15,SW95,BEFORE,1425,1425,1418,99.51
15,SW95,DURING,2769,2769,2769,100.0
16,SW273,AFTER,1285,1285,1285,100.0
16,SW273,BEFORE,1425,1394,1380,96.84
16,SW273,DURING,2769,2769,2769,100.0
17,SW277,AFTER,1285,1255,1248,97.12
17,SW277,BEFORE,1425,1424,1410,98.95
17,SW277,DURING,2769,2769,2769,100.0
