target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Baruria,persistence,val,none,0.12110517501178117,0.08567073170731707,0.996253737342212,0.0,0.1131113877843943,328,86,,,,,
Baruria,persistence,test,none,0.09924165007439695,0.06821167883211679,0.9978023438473824,0.0,0.0902871060429737,1096,369,,,,,
Baruria,ridge,val,20260913,0.030494494485298156,0.02257346841178675,0.9997624715160622,0.936595880845684,0.03455414403727504,328,86,,,,,
Baruria,ridge,test,20260913,0.02780437691692302,0.020244448141495786,0.9998274964152573,0.9215056529488252,0.02800917533340114,1096,369,,,,,
Baruria,tgcn,val,20260913,0.08888218170283814,0.05999679779198049,0.9979820879551543,0.4613532928208377,0.08825723184476976,328,86,,,,,
Baruria,tgcn,test,20260913,0.07045407443640783,0.04721774387740917,0.9988923972691128,0.4960072668475116,0.06877306529348638,1096,369,,,,,
Baruria,tgcn,val,20260914,0.08858516354853195,0.05995150370266572,0.9979955519602655,0.46494727603587704,0.08819645888024782,328,86,,,,,
Baruria,tgcn,test,20260914,0.06936978352871168,0.04593559516707847,0.9989262270267889,0.5114008295009386,0.06815375861749054,1096,369,,,,,
Baruria,tgcn,val,20260915,0.08691206958076572,0.058001801236449546,0.9980705523339631,0.48496732816482546,0.08666159895772817,328,86,,,,,
Baruria,tgcn,test,20260915,0.07433297361299408,0.04979276235152071,0.9987670802675641,0.43898424193095664,0.07682036827220437,1096,369,,,,,
Baruria,tgcn,val,mean,0.08812647161071192,0.059316700910365255,0.9980160640831276,0.4704226323405134,0.08770509656091525,328,86,,,,,
Baruria,tgcn,val,sd,0.0010621366031495104,0.0011389616995226125,4.766599382938173e-05,0.012723612352780033,0.0009042061569117337,328,86,,,,,
Baruria,tgcn,test,mean,0.07138561052603787,0.04764870046533612,0.9988619015211553,0.4821307794264689,0.07124906406106044,1096,369,,,,,
Baruria,tgcn,test,sd,0.002609431656106787,0.001964364364799145,8.384161094323215e-05,0.03815046809909391,0.004834817281921407,1096,369,,,,,
Baruria,tgcn,val,seed_avg_prediction,0.08768965360844568,0.05887675855534586,0.9980358731653858,0.4757103241196745,0.08695110352378699,328,86,,,,,
Baruria,tgcn,test,seed_avg_prediction,0.07100421998304611,0.04723586040032373,0.9988750321482954,0.4881056118061883,0.07075793137900178,1096,369,,,,,
Baruria,lstm,val,20260913,0.03413447866235827,0.025659855188734426,0.9997023818802857,0.9205559922245198,0.03734633491619541,328,86,,,,,
Baruria,lstm,test,20260913,0.03546452670624192,0.026284357975309102,0.9997193531792846,0.8722972106527893,0.03332245949157871,1096,369,,,,,
Baruria,lstm,val,20260914,0.03475664045149033,0.026184952850214754,0.999691433764174,0.9176335820489068,0.03780100973649317,328,86,,,,,
Baruria,lstm,test,20260914,0.03408857671081944,0.024949120638769598,0.9997407077553373,0.8820141884553392,0.033663024223834444,1096,369,,,,,
Baruria,lstm,val,20260915,0.0321491910964648,0.02474464763296636,0.9997359945329348,0.9295283082951191,0.037720035491511844,328,86,,,,,
Baruria,lstm,test,20260915,0.03609611063670093,0.02752794050189194,0.9997092681523703,0.8677082184656617,0.03352671736816395,1096,369,,,,,
Baruria,lstm,val,mean,0.0336801034034378,0.025529818557305184,0.9997099367257981,0.9225726275228485,0.037622460048066804,328,86,,,,,
Baruria,lstm,val,sd,0.00136181521936533,0.00072890460544802,2.3221160526048407e-05,0.006198487038216054,0.0002425345819173434,328,86,,,,,
Baruria,lstm,test,mean,0.03521640468458743,0.026253806371990217,0.999723109695664,0.8740065391912634,0.03350406702785904,1096,369,,,,,
Baruria,lstm,test,sd,0.0010265093857893942,0.0012896813645073724,1.6052903792239855e-05,0.007304556617325903,0.0001714084672676696,1096,369,,,,,
Baruria,lstm,val,seed_avg_prediction,0.03281061983738696,0.0249979995308328,0.9997250196313466,0.9265987481999671,0.037031611963976176,328,86,,,,,
Baruria,lstm,test,seed_avg_prediction,0.03453302307197476,0.025776501919515398,0.9997339023815573,0.8789175376113043,0.0331519446478505,1096,369,,,,,
