k,model,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,pi_lo,pi_hi
3,ridge,0.03807815150061178,0.028774600470375444,0.9993541001355492,0.8475761666838916,0.03476502414414499,1096,369,0.8269269292128609,0.8660025172000501
3,tgcn,0.05742026575108821,0.04238976482896999,0.9985312635438599,0.6533976037193836,0.05799146777113988,1096,369,0.5908297641236899,0.7061903081938912
3,custom,0.03592856974149272,0.02700205324226707,0.9994249662482354,0.8642996328779029,0.0302685534668495,1096,369,0.843431543674638,0.8837806411349164
3,lstm,0.040577453151631124,0.030074740986560322,0.9992665288291608,0.8269104955127655,0.03405673471914529,1096,369,0.8013419835846793,0.8523458192408447
7,ridge,0.03777139892178275,0.028114095372740042,0.9993644647872386,0.8500220875277424,0.03443627481070696,1096,369,0.8316891314830942,0.8690456560755533
7,tgcn,0.057382010642133434,0.04106114942213912,0.9985332199247924,0.6538592837685386,0.05826622085225658,1096,369,0.5924425986276046,0.7131715758364443
7,custom,0.034688828565016705,0.025923245451888895,0.9994639654948746,0.8735029397623608,0.02888018398595123,1096,369,0.8540407233773565,0.8920081176298261
7,lstm,0.041934682681146924,0.030555774814576966,0.9992166421485434,0.8151378980721807,0.03482033020901104,1096,369,0.7905179340208287,0.8409477275184603
10,ridge,0.037802860666286305,0.028230055391520726,0.999363405606244,0.8497721348086571,0.03421036112170683,1096,369,0.831352629593962,0.8684310660830119
10,tgcn,0.05582126356824312,0.04054448812469536,0.9986119254091879,0.6724327380991989,0.05710477644283629,1096,369,0.615576367178702,0.7223056949251249
10,custom,0.03330087712918192,0.025196298050551687,0.9995060024170067,0.8834230979243927,0.027782571970947495,1096,369,0.8626394493272195,0.9012468725893408
10,lstm,0.043431819192072264,0.03182959115702289,0.9991597093718382,0.8017025150594861,0.03682711041234132,1096,369,0.7734448264291607,0.8310345161704208
