target_id,lag,corr,n,lag_ci_lo,lag_ci_hi,chainage_km
2,0,0.9203550831378848,1844,0.0,0.0,54.01
3,0,0.8929271789529835,1844,0.0,0.0,70.28
4,1,0.8783544354792914,1830,1.0,1.0,110.92
5,1,0.7755636765818716,1830,1.0,1.0,124.86
6,1,0.8133723831381174,1830,1.0,1.0,154.22
7,1,0.7600339551932788,1830,1.0,1.0,178.68
10,1,0.6204479269549796,1830,1.0,1.0,199.43
11,1,0.6298677533990084,1830,1.0,1.0,203.44
12,1,0.5348589571810809,1830,1.0,2.0,254.96
13,1,0.5262049026394857,1822,1.0,2.0,259.93
15,3,0.30764794986853927,1798,1.0,4.0,290.66
