target,span,model,seed,window,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,train_rows,pi_lo,pi_hi
Baruria,S6,persistence,none,own,0.15652475842498528,0.12161290322580647,0.9521839473563427,0.0,0.15652475842498528,31,31,,,
Baruria,S6,ridge,20260913,own,0.0824829070546816,0.07426828979795837,0.9867219116349928,0.7223089813799493,0.0824829070546816,31,31,128.0,0.6938725004253172,0.7223089813799493
Baruria,S6,ridge,20260913,common,0.0824829070546816,0.07426828979795837,0.9867219116349928,0.7223089813799493,0.0824829070546816,31,31,128.0,0.6938725004253172,0.7223089813799493
Baruria,S6,tgcn,mean,own,0.15507207377576873,0.1214072349402377,0.9530673771011425,0.01847558917887926,0.15507207377576873,31,31,128.0,0.018475589178879592,0.03218335598679267
Baruria,S6,tgcn,mean,common,0.15507207377576873,0.1214072349402377,0.9530673771011425,0.01847558917887926,0.15507207377576873,31,31,128.0,0.018475589178879592,0.03218335598679267
Baruria,S6,custom,mean,own,0.15167396669954666,0.1193211783031696,0.9551017176784959,0.06102072757652299,0.15167396669954666,31,31,128.0,0.061020727576523104,0.08091312886982072
Baruria,S6,custom,mean,common,0.15167396669954666,0.1193211783031696,0.9551017176784959,0.06102072757652299,0.15167396669954666,31,31,128.0,0.061020727576523104,0.08091312886982072
Baruria,S6,lstm,mean,own,0.16350978704375174,0.13348660519904523,0.9478210731998414,-0.09124287588134883,0.16350978704375174,31,31,128.0,-0.0912428758813486,-0.05064256593324368
Baruria,S6,lstm,mean,common,0.16350978704375174,0.13348660519904523,0.9478210731998414,-0.09124287588134883,0.16350978704375174,31,31,128.0,-0.0912428758813486,-0.05064256593324368
Baruria,S12,persistence,none,own,0.1407549520327407,0.11445652173913042,0.9803531464527039,0.0,0.1374137536149118,92,63,,,
Baruria,S12,persistence,none,common,0.15652475842498528,0.12161290322580647,0.9521839473563427,0.0,0.15652475842498528,31,31,,,
Baruria,S12,ridge,20260913,own,0.11000299737768839,0.09755672557333649,0.9880001814345376,0.3892244100779251,0.09903313885554364,92,63,233.0,-0.12378121018447502,0.6970029817482608
Baruria,S12,ridge,20260913,common,0.08170679950294926,0.07289978703901441,0.9869706114559103,0.7275101597953,0.08170679950294926,31,31,233.0,0.7275101597953,0.7294267369133327
Baruria,S12,tgcn,mean,own,0.1475446087008643,0.1201991688227537,0.9784120038727209,-0.09880170253776677,0.14308131806219224,92,63,233.0,-0.21897187717426694,-0.06512507703289888
Baruria,S12,tgcn,mean,common,0.16182746959733962,0.12435974694528375,0.9488892653585437,-0.0689032618888934,0.16182746959733962,31,31,233.0,-0.08667512130303479,-0.06890326188889317
Baruria,S12,custom,mean,own,0.14760240686221549,0.12018305937833117,0.978395087078723,-0.09966274595915281,0.14317395955201717,92,63,233.0,-0.22012406516909683,-0.066310848122196
Baruria,S12,custom,mean,common,0.16194251427087641,0.12431845351470171,0.9488165693215146,-0.07042358891318434,0.16194251427087641,31,31,233.0,-0.08865407296643935,-0.07042358891318434
Baruria,S12,lstm,mean,own,0.1530354461117405,0.12578119777720714,0.9767753215758445,-0.1821067616881482,0.1484759548894875,92,63,233.0,-0.5471116071562695,-0.0015020305375641825
Baruria,S12,lstm,mean,common,0.15933979094769996,0.12736911730716224,0.9504485779391489,-0.03629261139823359,0.15933979094769996,31,31,233.0,-0.043849891062496926,-0.03606769944753707
Baruria,S36,persistence,none,own,0.09835810561357265,0.07087431693989073,0.9978360739383303,0.0,0.11837270282541304,366,124,,,
Baruria,S36,persistence,none,common,0.15652475842498528,0.12161290322580647,0.9521839473563427,0.0,0.15652475842498528,31,31,,,
Baruria,S36,ridge,20260913,own,0.02875574324948327,0.020896441279608376,0.9998150427750135,0.9145270126079263,0.03151659743238157,366,124,576.0,0.8766775278219869,0.9296505048070456
