Id,Station_ID,Stage,N,Mean,SD,Min,Q1,Median,Q3,Max,IQR,Range,Skewness,Kurtosis,CV
1,SW88A,before (as delivered),5478,14.754023366192042,3.2560947844605934,9.79,12.032499999999999,13.695,17.6675,22.19,5.635000000000002,12.400000000000002,0.5820273550261317,-0.9696864723362459,0.2206919904926909
1,SW88A,after (analysis-ready),5464,14.757994143484625,3.259281350457093,9.79,12.03,13.7,17.68,22.19,5.65,12.400000000000002,0.5784614664923011,-0.9754209716807858,0.22084853258300038
2,SW88,before (as delivered),5478,11.070527564804674,3.0741862622448455,6.35,8.52,9.91,13.93,18.17,5.41,11.820000000000002,0.5957017296425028,-1.0203098640465982,0.277691035431615
2,SW88,after (analysis-ready),5464,11.068484626647145,3.075470263950869,6.35,8.52,9.91,13.93,18.17,5.41,11.820000000000002,0.5971999869545684,-1.0185899502347855,0.27785829476121227
3,SW89,before (as delivered),5236,10.435614973262034,3.0442305718445866,5.98,7.85,9.37,13.49,16.78,5.640000000000001,10.8,0.49782639765938463,-1.1798613307097876,0.2917154934945823
3,SW89,after (analysis-ready),5222,10.43328035235542,3.0453919557045173,5.98,7.842499999999999,9.37,13.48,16.78,5.637500000000001,10.8,0.49937160610858333,-1.1781614194194545,0.2918920850254914
4,SW90,before (as delivered),5479,7.280025552108048,2.972906481152367,2.99,4.72,6.3,10.18,13.46,5.46,10.47,0.49659153432534353,-1.1967640930633812,0.4083648415617874
4,SW90,after (analysis-ready),5472,7.281811038011696,2.974387761194122,2.99,4.72,6.3,10.19,13.46,5.47,10.47,0.4948161077182057,-1.1993033842721688,0.4084681332250391
5,SW91,before (as delivered),5447,6.935369928400953,2.832188922518717,2.87,4.47,5.95,9.725000000000001,12.96,5.255000000000002,10.09,0.5138403652232656,-1.1772646774453164,0.40836883277424796
5,SW91,after (analysis-ready),5426,6.9431533357906385,2.8346479506191313,2.87,4.47,5.97,9.73,12.96,5.260000000000001,10.09,0.5080174475820738,-1.1837333104476957,0.40826520941242345
6,SW91.1,before (as delivered),5478,5.398740416210296,2.527226955264691,1.8,3.2025,4.58,7.77,11.05,4.567499999999999,9.25,0.4912722616771591,-1.157387184773541,0.4681141822778554
6,SW91.1,after (analysis-ready),5464,5.403125915080527,2.5289555808159516,1.8,3.2,4.595,7.78,11.05,4.58,9.25,0.4871461175058103,-1.1616898496518488,0.4680541635643634
7,SW91.2,before (as delivered),5448,4.976266519823789,2.458998366976397,1.41,2.72,4.42,7.39,10.52,4.67,9.11,0.3450542972925672,-1.2966220518415388,0.49414523060221277
7,SW91.2,after (analysis-ready),5434,4.981115200588885,2.4600754726437435,1.41,2.72,4.43,7.39,10.52,4.67,9.11,0.34115931827953216,-1.2994879877161256,0.49388046121738055
8,SW46.9L,before (as delivered),5205,14.92571911623439,2.469468634373493,11.377,12.597,14.52,17.287,20.627,4.6899999999999995,9.249999999999998,0.27499764878323174,-1.3181557425616157,0.1654505632286423
8,SW46.9L,after (analysis-ready),5163,14.923200464846019,2.4725318492092874,11.377,12.59,14.5,17.287,20.627,4.696999999999999,9.249999999999998,0.27723446865502854,-1.319217759907958,0.16568375229118787
9,SW50.6,before (as delivered),5448,4.499686306901615,2.290027134959424,1.35,2.283,3.9764999999999997,6.76075,9.333,4.47775,7.9830000000000005,0.28614021253858896,-1.392822738438721,0.508930396202727
9,SW50.6,after (analysis-ready),5427,4.5005303114059325,2.289240400699289,1.35,2.283,3.983,6.7515,9.333,4.468500000000001,7.9830000000000005,0.28408483227267645,-1.3922076964161758,0.5086601449828135
10,SW91.9R,before (as delivered),5479,4.298067165541157,2.2219069525732222,1.12,2.13,3.79,6.53,9.08,4.4,7.96,0.2752767681655411,-1.398831610165603,0.5169549164766177
10,SW91.9R,after (analysis-ready),5472,4.300405701754386,2.222364289233422,1.12,2.13,3.8,6.53,9.08,4.4,7.96,0.27301537332088593,-1.399845968163043,0.5167801466561144
11,SW91.9L,before (as delivered),5448,4.37814610866373,2.16196477709342,1.3,2.26,3.95,6.54,8.93,4.28,7.63,0.2551421797026316,-1.4187171613964178,0.49380827488036516
11,SW91.9L,after (analysis-ready),5434,4.383691571586308,2.1619408519214156,1.3,2.26,3.95,6.547499999999999,8.93,4.2875,7.63,0.25077051752401003,-1.4199475645486086,0.4931781391588832
12,SW93.4L,before (as delivered),5479,2.6378956013871147,1.6077797600720711,0.3,1.14,2.22,4.19,6.35,3.0500000000000007,6.05,0.3816637846519998,-1.265077966309051,0.6094933246132387
12,SW93.4L,after (analysis-ready),5472,2.6396491228070174,1.60805914059639,0.3,1.14,2.22,4.2,6.35,3.0600000000000005,6.05,0.3794756726286592,-1.2664058583655675,0.6091942776418598
13,SW93.5L,before (as delivered),5472,2.5167885599415203,1.541173382424157,0.23,1.077,2.12,4.047,6.087,2.9699999999999998,5.856999999999999,0.3567698722891318,-1.3045985906618671,0.6123571153152283
13,SW93.5L,after (analysis-ready),5458,2.5173065225357276,1.542130677063323,0.23,1.077,2.12,4.047,6.087,2.9699999999999998,5.856999999999999,0.35651932984983936,-1.3057134127749863,0.6126114016142569
14,SW94,before (as delivered),4084,2.3461332027424096,1.4721510420318298,0.11,0.97,1.956,3.79,5.496,2.8200000000000003,5.386,0.3094364527128515,-1.3689495582617397,0.6274797357247335
14,SW94,after (analysis-ready),4063,2.3404090573467884,1.4677979846419695,0.11,0.966,1.95,3.783,5.346,2.817,5.236,0.30832958568235275,-1.3743886060023058,0.6271544626074653
15,SW95,before (as delivered),5478,1.4806170135085797,1.1779917734483174,-0.6,0.42,1.27,2.6,4.01,2.18,4.609999999999999,0.22126835455780197,-1.3048025429731387,0.7956086973881659
15,SW95,after (analysis-ready),5464,1.4802049780380673,1.1774260570380481,-0.6,0.42,1.27,2.59,4.01,2.17,4.609999999999999,0.22177028908007138,-1.3020020619584223,0.795447978156825
16,SW273,before (as delivered),5448,2.011734030837004,1.3979327058629443,0.01,0.741,1.6155,3.29,5.27,2.549,5.26,0.44874873066576476,-1.1808104652211187,0.6948894259552387
16,SW273,after (analysis-ready),5434,2.009788921604711,1.3954262870276293,0.01,0.741,1.6155,3.29,5.27,2.549,5.26,0.4472653693258793,-1.1818394154175407,0.6943148467120888
17,SW277,before (as delivered),5448,1.5411490455212922,0.9877941154032952,-0.38,0.66,1.32,2.4125,3.78,1.7525,4.16,0.31926916912367165,-1.1609864298479617,0.6409465186212244
17,SW277,after (analysis-ready),5427,1.5420784964068548,0.9884454797189386,-0.38,0.665,1.33,2.42,3.78,1.755,4.16,0.31772477106354396,-1.1618088561045796,0.6409825972037624
