Station_ID,Id,Period,N_Rows,N_Prior_Points,N_Features_StageOnly,N_Features_Hydromet,N_Features_Full,N_Features_ForecastSafe,First,Last
SW91.9R,10,BEFORE,1062,9,79,173,177,151,2011-01-08,2014-11-25
SW91.9R,10,DURING,2473,9,79,173,177,151,2014-11-26,2022-06-25
SW91.9R,10,AFTER,1285,9,79,173,177,151,2022-06-26,2025-12-31
SW91.9L,11,BEFORE,1062,10,87,189,193,165,2011-01-08,2014-11-25
SW91.9L,11,DURING,2473,10,87,189,193,165,2014-11-26,2022-06-25
SW91.9L,11,AFTER,1285,10,87,189,193,165,2022-06-26,2025-12-31
SW93.4L,12,BEFORE,1062,11,95,205,209,179,2011-01-08,2014-11-25
SW93.4L,12,DURING,2473,11,95,205,209,179,2014-11-26,2022-06-25
SW93.4L,12,AFTER,1285,11,95,205,209,179,2022-06-26,2025-12-31
SW93.5L,13,BEFORE,1048,12,103,221,225,193,2011-01-08,2014-11-25
SW93.5L,13,DURING,2473,12,103,221,225,193,2014-11-26,2022-06-25
SW93.5L,13,AFTER,1285,12,103,221,225,193,2022-06-26,2025-12-31
SW95,15,BEFORE,1048,13,111,241,245,210,2011-01-08,2014-11-25
SW95,15,DURING,2473,13,111,241,245,210,2014-11-26,2022-06-25
SW95,15,AFTER,1277,13,111,241,245,210,2022-06-26,2025-12-31
